accessURI,catalogNumber,verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus,Image
https://fm-digital-assets.fieldmuseum.org/2453/856/V0597275F.jpg,V0597275F,P.C.M. Jansen,P. C. M. Jansen,N/A,5996,14 April 1976,1976-04-14,N/A,Cirsium vulgare (Savi) Ten.,Cirsium vulgare,C. C. H. Jongkind,1987,N/A,Ethiopia,Harerge,N/A,Damata Village,"around Damata Village, near Alemaya. Between chat and Sorghum fields.","around Damata Village, near Alemaya, between chat and Sorghum fields","Herb, c. 1 meters high. Stem whitish green. Leaves dark green above, whitish green beneath. Spines yellow. Involucre dark green. Disc flowers only, lilac red.",Alt: 2000m,"c. 9°24' N, 42°01' E",2302849,Mix of Handwritten and Typed,no type status,
https://fm-digital-assets.fieldmuseum.org/2454/013/V0597626F.jpg,V0597626F,"Amanda Koch, Wilson Sakuda, AK61, October 22, 2003",A. Koch,W. Sakuda,AK61,"October 22, 2003",2003-10-22,N/A,Acacia reficiens misera (Vatke) Brenan,Acacia reficiens misera,P. Mutiso,"November 02, 2003",N/A,Kenya,Kajiado,N/A,N/A,Oloisobibor,Oloisobibor,Dry bushland,N/A,N/A,2309478,Mix of Handwritten and Typed,no type status,
https://fm-digital-assets.fieldmuseum.org/2454/080/V0597688F.jpg,V0597688F,"Coll. J. Lebrun, Mart 1931",J. Lebrun,N/A,E 2409,Mart 1931,1931-03-00,N/A,Albizzia gummifera (Gmel.),Albizzia gummifera,C. A. Smith,N/A,N/A,Democratic Republic of the Congo,N/A,N/A,N/A,Congo Belge. Lebr. (Itin. Itinér.),[precise locality unknown],N/A,N/A,N/A,867368,Mix of Handwritten and Typed,no type status,
https://fm-digital-assets.fieldmuseum.org/2460/308/V0588237F.jpg,V0588237F,Verdcourt,B. Verdcourt,N/A,2077,25. 12. 1957.,1957-12-25,N/A,Digitaria pernaka (Hochst.) Chov.,Digitaria pernaka,unsure and check,N/A,N/A,Kenya,N/A,N/A,N/A,"Tsavo - Kitui Andei, Kenya",Tsavo - Kitui Andei,N/A,N/A,N/A,V0588237F,Mix of Handwritten and Typed,no type status,
https://fm-digital-assets.fieldmuseum.org/2460/430/V0580026F.jpg,V0580026F,H. Callens,H. Callens,N/A,209,Juillet 1958,1958-07-00,N/A,Gaertnera paniculata,Gaertnera paniculata,H. Callens,1/9/58,N/A,Democratic Republic of the Congo,Kongo Central,N/A,Kisantu,Origine: Kisantu,Kisantu,foret secondaire,N/A,N/A,1732587,Mix of Handwritten and Typed,no type status,
https://fm-digital-assets.fieldmuseum.org/2464/177/V0580516F.jpg,V0580516F,N/A,N/A,N/A,4333,19/2/1956,1956-02-19,N/A,"CICHORIUM, Mikania cordata (Burm. f.) B.L. ROBINSON",Mikania cordata,N/A,N/A,N/A,Democratic Republic of the Congo,Kivu,Kalehe,N/A,"Vers le 130, route Kavumu-Kalonge, forêt secondaire, février 1956","Vers le 130, route Kavumu-Kalonge",Forêt secondaire,C. environ 1540 m.,N/A,1543353,Typed,no type status,
https://fm-digital-assets.fieldmuseum.org/2466/373/V0574490F.jpg,V0574490F,Gordon McPherson,G. McPherson,N/A,13781,20 Mars 1989,1989-03-20,N/A,Corynanthe mayumbensis (R. Good) N. Hallé,Corynanthe mayumbensis,J. Wilks | G. McPherson,1989,N/A,Gabon,Ogooue-Ivindo,N/A,N/A,"Réserve de la Lopé, au sud d'Ayem; chantier SOFORGA","Réserve de la Lopé, south of Ayem, SOFORGA worksite",N/A,c. 200 m,0°25'S 11°30'E,LF:Q66-S-0223-G | BK:Q66-S-0224-H | WD:Q66-S-0225-I,Mix of Handwritten and Typed,no type status,
https://fm-digital-assets.fieldmuseum.org/2472/873/V0574226F.jpg,V0574226F,J. M. Fay,J. M. Fay,N/A,8294,4 March 1988,1988-03-04,N/A,Millettia zechiana Harms,Millettia zechiana,A. Assi,1988,Guibourtia demeusei | Berlinia | Bombax,Cameroon,N/A,N/A,N/A,On the Sangha River across from Ndakan gorilla study area,On the Sangha River across from Ndakan gorilla study area,"In seasonally flooded forest with Guibourtia demeusei, Berlinia sp., Bombax sp.",385 m,02°20'N 16°08'E,067B/0546-H | 067B/0547-I | 067B/0548-J | NCI# Leaves Q67B/0545-C,Mix of Handwritten and Typed,no type status,
https://fm-digital-assets.fieldmuseum.org/2473/141/V0580728F.jpg,V0580728F,Coll. F.A. Melville,F. A. Melville,N/A,199,29.vii.1959,1959-07-29,N/A,Phaseolus lunatus L.,Phaseolus lunatus,N/A,N/A,N/A,Equatorial Guinea,Annobón,N/A,N/A,"South west of Crater Lake. Clearing in wood, scrambling over herbage.",South west of Crater Lake,"Clearing in wood, scrambling over herbage","Alt. 1,500ft.",N/A,1624518,Mix of Handwritten and Typed,no type status,
https://fm-digital-assets.fieldmuseum.org/2473/209/V0578764F.jpg,V0578764F,R. L. PIEMEISEL L. W. KEPHART Collectors,R. L. Piemeisel,L. W. Kephart,2,"June 28, 1927",1927-06-28,N/A,N/A,N/A,N/A,N/A,N/A,Kenya,Nairobi,N/A,Muthaiga,"Kenya: Muthaiga, near Nairobi; alt. 1,700 meters","Muthaiga, near Nairobi",N/A,"1,700 meters",N/A,2074762,Mix of Handwritten and Typed,no type status,
https://fm-digital-assets.fieldmuseum.org/2474/564/V0594158F.jpg,V0594158F,COLL. A. Léonard,A. Léonard,N/A,3149,19/2 1959,1959-02-19,N/A,Oxyanthus speciosus DC. subsp. indet.,Oxyanthus speciosus subsp. indet.,B. Sonké,1989,N/A,Democratic Republic of the Congo,Nord-Kivu,Masisi,N/A,Masisi,Masisi,Vieille forêt secondaire,1900m,N/A,N/A,Mix of Handwritten and Typed,no type status,
https://fm-digital-assets.fieldmuseum.org/2477/449/V0573054F.jpg,V0573054F,"récolté par le R. P. KLAIN Donné par M. L. PIERRE, le 25 Mars 1901",R. P. Klain,M. L. Pierre,s.n.,le 25 Mars 1901,1901-03-25,N/A,Klaineanthus Jabourin fruit et arille rouge,Klaineanthus jabourin,unsure and check,N/A,N/A,Gabon,Estuaire,N/A,Libreville,Herbier des environs de LIBREVILLE,environs de Libreville,N/A,N/A,N/A,3200 | 781173,Mix of Handwritten and Typed,no type status,
https://fm-digital-assets.fieldmuseum.org/2478/115/V0601010F.jpg,V0601010F,James T. Allen,J. T. Allen,N/A,41,"September 23, 1996",1996-09-23,N/A,Dissotis rotundifolia (Sm.) Triana,Dissotis rotundifolia,N/A,N/A,N/A,Ghana,Volta Region,N/A,Larteh,Center for Scientific Research into Plant Medicine (CSRPM) farm,Center for Scientific Research into Plant Medicine farm,"Anti-asthmatic; treating coughs and colds; antipyretic, for dysentery. Applied topically-arthritis",N/A,N/A,2200652,Mix of Handwritten and Typed,no type status,
https://fm-digital-assets.fieldmuseum.org/2478/233/V0602418F.jpg,V0602418F,J.E. Andoh,J. E. Andoh,N/A,5632,March 1952,1952-03-00,N/A,Chrysophyllum perpulchrum Mildbr.,Chrysophyllum perpulchrum,N/A,N/A,N/A,Ghana,Ashanti,Kumasi,Kumasi,Kumasi Township Forest Reserve,Kumasi Township Forest Reserve,Medium sized tree 30 feet high and 2 feet girth Planted in 1933,N/A,N/A,N/A,Typed,no type status,
https://fm-digital-assets.fieldmuseum.org/2478/305/V0604513F.jpg,V0604513F,J. Nemba & D.W. Thomas,J. Nemba,D. W. Thomas,520,15 June 1987,1987-06-15,N/A,Donella welwitschii Pierre ex Engl.,Donella welwitschii,D. W. Thomas,1987,N/A,Cameroon,Southwest,N/A,N/A,Secondary growth and old growth forest along Kumba-Mamfe road at mile 14 Lkiliwindi,Kumba-Mamfe road at mile 14 Lkiliwindi,Secondary growth and old growth forest,200 m,04°44'N 09°29'E,2041320,Mix of Handwritten and Typed,no type status,
https://fm-digital-assets.fieldmuseum.org/2479/474/V0572217F.jpg,V0572217F,J. Deaw,J. Deaw,N/A,Sp 283,4/19/71,1971-04-19,N/A,Eugenia coronata,Eugenia coronata,A. A. Enti,N/A,N/A,Ghana,N/A,N/A,Accra,Accra,Accra,A shrub about 6 feet high Flowering pedicels fascicled Fruit ellipsoid calyx persistent at the apex,N/A,N/A,1753421 | 71 | 19,Mix of Handwritten and Typed,no type status,
https://fm-digital-assets.fieldmuseum.org/2487/523/V0602609F.jpg,V0602609F,collecti G. Schweinfurth et D. Riva,G. Schweinfurth,D. Riva,1814,Januar 1892,1892-01-00,N/A,Rumex nervosus V,Rumex nervosus,N/A,N/A,N/A,Eritrea,N/A,N/A,Paganciti,"Paganciti, pente du Nord au-dessous d'Addi-Abbour","Paganciti, north slope below Addi-Abbour",N/A,Altitude 2300/2100 m,N/A,71238,Typed,no type status,
https://fm-digital-assets.fieldmuseum.org/2487/806/V0606178F.jpg,V0606178F,Coll. R.B. & A.J. Faden 77/711,R. B. Faden,A. J. Faden,77/711,7 March 1977,1977-03-07,N/A,Toddaliopsis sansibarensis (Engl.) Engl. confirmed J.O. Kokwaro,Toddaliopsis sansibarensis,J. O. Kokwaro,N/A,Combretum schumannii,Kenya,Kwale,N/A,N/A,"Kenya, K7, Kwale District, Chale Peninsula, ca. 4°26'3""S, 39°32'30""E",Chale Peninsula,Coral rag dry forest with Combretum schumannii dominant,Alt 0-5 m,"4°26'3""S, 39°32'30""E",2153520,Mix of Handwritten and Typed,no type status,
https://fm-digital-assets.fieldmuseum.org/2487/920/V0603038F.jpg,V0603038F,F. SZAFRANSKI,F. Szafranski,N/A,1378,5.2.1988,1988-02-05,N/A,Floscopa glomerata (Roem. et Schult.) Hassk.,Floscopa glomerata,N/A,N/A,N/A,Democratic Republic of the Congo,Haut-Uele,Isiro,N/A,"Haut-Zaïre, S-Rég. Haut-Uele, Isiro",near the road in the vicinity of the SOCODIA factory,bas fond marécageux près de la route aux environs de l'usine SOCODIA,N/A,N/A,2084694,Mix of Handwritten and Typed,no type status,
https://fm-digital-assets.fieldmuseum.org/2491/969/V0606676F.jpg,V0606676F,Coll. F.H.H. Migeod.,F. H. H. Migeod,N/A,394,26. 1. 1928.,1928-01-26,N/A,Solanum aculeatissimum Jacq.,Solanum aculeatissimum,M. Nee,"Dec. 3, 1977",N/A,Cameroon,Northwest,Bamenda,N/A,"AFRICA. Bamenda, British Cameroons.",Bamenda,Shrub very thorny and spinous Flower not seen Fruit pale yellow 1 in. diameter soft,"Alt. 5,500 ft.",N/A,1441275 | 394,Mix of Handwritten and Typed,no type status,
https://fm-digital-assets.fieldmuseum.org/2491/991/V0601406F.jpg,V0601406F,T.C. Wrigley and F.A. Melville,T. C. Wrigley,F. A. Melville,52,18 July 1959,1959-07-18,N/A,Cassipourea annobonensis Mildbr. ex Alston.,Cassipourea annobonensis,A. W. Exell,1961,N/A,Equatorial Guinea,Annobón,N/A,N/A,Ridge west of Crater Lake.,Ridge west of Crater Lake,Open woodland,1200ft. Alt.,N/A,1624568,Mix of Handwritten and Typed,no type status,
https://fm-digital-assets.fieldmuseum.org/2493/436/V0604673F.jpg,V0604673F,William Burger,W. Burger,N/A,1767,27 May 1962,1962-05-27,N/A,Rubus apetalus Poir,Rubus apetalus,W. Burger,N/A,N/A,Ethiopia,Harar,N/A,N/A,"Near G. Ades ±18 km. E. of Hirna along new hwy, steep slopes with remnant Podocarpus & juniperous forest Alt. 9200 feet (9°17'N 41°13'E)","Near G. Ades approximately 18 kilometers east of Hirna along new highway, steep slopes with remnant Podocarpus and Juniperous forest",steep slopes with remnant Podocarpus and Juniperous forest,9200 feet,9°17'N 41°13'E,1825230,Mix of Handwritten and Typed,no type status,
https://fm-digital-assets.fieldmuseum.org/2499/501/V0565514F.jpg,V0565514F,"J.D. Sauer, no. 3914. 15 June 1963",J. D. Sauer,N/A,3914,15 June 1963,1963-06-15,N/A,Aerva lanata (L.) Juss.,Aerva lanata,N/A,N/A,N/A,Kenya,Coast Province,Kwale District,Mombasa,"Bumburri Beach, N of Mombasa","Bumburri Beach, north of Mombasa","Beach ridge, shallow open coast",N/A,N/A,V0565514F,Mix of Handwritten and Typed,no type status,
https://fm-digital-assets.fieldmuseum.org/2499/556/V0565977F.jpg,V0565977F,C. Vigine | C. Vigne,C. Vigine,C. Vigne,1408 | 4086,N/A,0000-00-00,N/A,Enantia polycarpa Engl. + Diels | Enantia polycarpa Engl. & Diels,Enantia polycarpa,N/A,N/A,N/A,Ghana,N/A,N/A,N/A,Gold Coast,Gold Coast,N/A,N/A,N/A,839434 | 4086 | 1408,Mix of Handwritten and Typed,no type status,
https://fm-digital-assets.fieldmuseum.org/2499/686/V0566108F.jpg,V0566108F,Eman Addo,E. Addo,N/A,1026,1999,1999-00-00,N/A,Uvaria versicolor Pierre,Uvaria versicolor,N/A,N/A,N/A,Ghana,N/A,N/A,N/A,N/A,[precise locality unknown],N/A,N/A,N/A,V0566108F,Typed,no type status,
https://fm-digital-assets.fieldmuseum.org/2500/629/V0567164F.jpg,V0567164F,A. A. Enti,A. A. Enti,N/A,Sp 398,22 11 71,1971-11-22,N/A,Pergularia daemia,Pergularia daemia,A. A. Enti,1971,N/A,Ghana,Central,N/A,N/A,Awutu - Winneba Road.,Awutu - Winneba Road,"A climber among grasses. Flower white, conspicuous. Latex present.",N/A,N/A,1753348 | WAX348,Mix of Handwritten and Typed,no type status,
https://fm-digital-assets.fieldmuseum.org/2501/420/V0591661F.jpg,V0591661F,D.W. Thomas,D. W. Thomas,N/A,6850,1987,1987-00-00,N/A,Cola flavovelutinia K. Schum.,Cola flavovelutinia,D. W. Thomas,1987,N/A,Cameroon,Southwest,N/A,N/A,PROV. SOUTHWEST: Korup National Park.,Korup National Park,Primary rain forest,60 m,05°02'N 08°50'E,2041255,Mix of Handwritten and Typed,no type status,
https://fm-digital-assets.fieldmuseum.org/2504/891/V0567306F.jpg,V0567306F,Sue A. Thompson,S. A. Thompson,N/A,1522,9 July 1984,1984-07-09,N/A,Impatiens macroptera Hook.f.,Impatiens macroptera,N/A,N/A,N/A,Cameroon,Sud-Ouest,Fako,Bakingili,"Bakingili; 4°04'N, 9°02'E. Alt. 50-250 m. Trail up Mt. Cameroon.",Trail up Mount Cameroon,"Erect herb up to 70 centimeters tall, growing on wet rocks; flowers purple",Alt. 50-250 m.,"4°04'N, 9°02'E",V0567306F,Mix of Handwritten and Typed,no type status,
https://fm-digital-assets.fieldmuseum.org/2505/266/V0606921F.jpg,V0606921F,D. Wiens,D. Wiens,N/A,4484,16-12-71,1971-12-16,N/A,Englerina tenuifolia (Engl.) Gilli,Englerina tenuifolia,unsure and check,N/A,N/A,Kenya,Kitui,N/A,N/A,4 km n. of Kangondi on road to Embu,4 kilometers north of Kangondi on road to Embu,Thorn shrub,Alt. 4500',N/A,1864166,Mix of Handwritten and Typed,no type status,
https://fm-digital-assets.fieldmuseum.org/2506/309/V0605928F.jpg,V0605928F,Sue A. Thompson 1333 & John E. Rawlins,S. A. Thompson,J. E. Rawlins,1333,3 June 1984,1984-06-03,N/A,Avicennia africana P. Beauv.,Avicennia africana,N/A,N/A,N/A,Cameroon,Sud-Ouest,Fako,Bakingili,"Bakingili; 4°04′N, 9°02′E. Alt. 0 m. Seaside.",Bakingili,Seaside,Alt. 0 m.,"4°04′N, 9°02′E",N208807,Mix of Handwritten and Typed,no type status,
https://fm-digital-assets.fieldmuseum.org/2511/134/V0605675F.jpg,V0605675F,G. Troupin,G. Troupin,N/A,6347,18.2.1958,1958-02-18,N/A,TILIAC. Glyphaea brevis (SPRENG.) MONACHINO,Glyphaea brevis,unsure and check,N/A,N/A,Democratic Republic of the Congo,Kivu,Kalehe,N/A,"Vers Km 110 route Kavumu-Walikale; Irangi, réserve IRSAC.",Vers Kilometer 110 route Kavumu-Walikale; Irangi; réserve IRSAC,forêt ombrophile,850 - 900 m.,N/A,1543374 | TROUTIN 6347,Mix of Handwritten and Typed,no type status,
https://fm-digital-assets.fieldmuseum.org/2511/772/V0571550F.jpg,V0571550F,Legit: A. Pappi,A. Pappi,N/A,2627,14-15.VIII.1902,1902-08-14,1902-08-15,Lavandula pubescens Decaisne,Lavandula pubescens,T. M. Upson,2/4/1996,N/A,Eritrea,unsure and check,unsure and check,unsure and check,ASSAORTA - LUNGO IL TORRENTE HADDAS,Assaorta along the Haddas stream,N/A,N/A,N/A,V0571550F,Mix of Handwritten and Typed,no type status,
https://fm-digital-assets.fieldmuseum.org/2512/575/V0607392F.jpg,V0607392F,William Burger,W. Burger,N/A,1453,"14 Feb, 1962",1962-02-14,N/A,Juniperus procera Hochst. ex Endl.,Juniperus procera,W. D. | W. Burger,N/A,N/A,Ethiopia,Harar,N/A,N/A,N.W. face of Gara Mulatta Mtn. i.e. 50 km due W of Harar 9°16'N + 41°43'E alt 2500-3000m.,N.W. face of Gara Mulatta Mountain 50 kilometers due west of Harar,on steep slopes in mixed forest,± 8600 feet alt 2500-3000m.,9°16'N + 41°43'E,"1632855 | 3000, 12-63",Mix of Handwritten and Typed,no type status,
https://fm-digital-assets.fieldmuseum.org/2513/815/V0570163F.jpg,V0570163F,G.B.D. & team No. 1,G. B. D.,team,1,10/12/1972,1972-12-10,N/A,Terminalia glaucescens,Terminalia glaucescens,N/A,1972,N/A,Ghana,Volta Region,Ho,N/A,"HO, VOLTA REGION GHANA",Ho,"A tree, to 40 feet high, 6 feet girth, wood yellow or brownish yellow",N/A,N/A,2007210,Mix of Handwritten and Typed,no type status,
https://fm-digital-assets.fieldmuseum.org/2514/094/V0570543F.jpg,V0570543F,leg. Schimper.,G. W. Schimper,N/A,s.n.,24.11.65,1865-11-24,N/A,Ipomoea sinensis Chois.,Ipomoea sinensis,N/A,N/A,N/A,Ethiopia,N/A,N/A,N/A,Abyssinia.,[precise locality unknown],N/A,N/A,N/A,373793 | 1467,Mix of Handwritten and Typed,no type status,
https://fm-digital-assets.fieldmuseum.org/2514/378/V0607965F.jpg,V0607965F,D.W. Thomas & M. Etuge.,D. W. Thomas,M. Etuge,6988,18 May 1987,1987-05-18,N/A,Tapura africana Oliv.,Tapura africana,D. W. Thomas,1987,N/A,Cameroon,Southwest,Kumba,Barombi Kang,"Degraded forest at Barombi Kang, Kumba.",Barombi Kang,Degraded forest,150 m,04°36'N 09°27'E,2040825,Mix of Handwritten and Typed,no type status,
https://fm-digital-assets.fieldmuseum.org/2514/765/V0570471F.jpg,V0570471F,"Dr. EDGAR A. MEARNS, Collector",E. A. Mearns,N/A,1114,"September 6 and 7, 1909",1909-09-06,1909-09-07,Evolvulus alsinoides L.,Evolvulus alsinoides,N/A,N/A,N/A,Kenya,N/A,N/A,Thika,"Vicinity of Thika, British East Africa; altitude about 1530 meters",Vicinity of Thika,N/A,altitude about 1530 meters,N/A,V0570471F,Mix of Handwritten and Typed,no type status,
https://fm-digital-assets.fieldmuseum.org/2514/997/V0570108F.jpg,V0570108F,COLLECTED BY G. MacNaughton,G. MacNaughton,N/A,580,N/A,0000-00-00,N/A,Combretum Schumannii Engl. & Diels,Combretum schumannii,N/A,N/A,N/A,Kenya,N/A,N/A,N/A,N/A,[precise locality unknown],N/A,N/A,N/A,N/A,Mix of Handwritten and Typed,no type status,
https://fm-digital-assets.fieldmuseum.org/2515/000/V0570110F.jpg,V0570110F,J. M. Fay,J. M. Fay,N/A,8271,28 February 1988,1988-02-28,N/A,Combretum smeathmannii G. Don,Combretum smeathmannii,A. Assi,1988,Irvingia smithii | Guibourtia demeusei | Berlinia,Cameroon,N/A,N/A,N/A,"Along the Sangha River adjacent to the island of Kilona. In riparian forest adjacent to seasonally flooded forest with Irvingia smithii, Guibourtia demeusei, Berlinia sp.",Along the Sangha River adjacent to the island of Kilona,"In riparian forest adjacent to seasonally flooded forest with Irvingia smithii, Guibourtia demeusei, Berlinia sp.",385 m,02°21'N 16°09'E,2041248 | NCI Sten 067/0466-T | Leaves 067/0467-U,Mix of Handwritten and Typed,no type status,
https://fm-digital-assets.fieldmuseum.org/2522/077/V0590787F.jpg,V0590787F,Coll. D.D. Soejarto,D. D. Soejarto,N/A,4793,"April 1, 1978",1978-04-01,N/A,Diospyros tricolor Hiern.,Diospyros tricolor,N/A,N/A,Thespesia populnea | Sophora occidentalis,Ghana,Greater Accra,N/A,Bortianor,"20 km. West of Accra, sea coast","20 kilometers West of Accra, sea coast","Straggling shrub, in association with Thespesia populnea and Sophora occidentalis Fruits green Forming clumps just behind beach, on sandy soil Common",N/A,N/A,1842606,Typed,no type status,
https://fm-digital-assets.fieldmuseum.org/39/558/V0040586F.jpg,V0040586F,Narciso Reyna R. 40,N. Reyna,N/A,40,15 diciembre 1967,1967-12-15,N/A,Guatteria scalarinervia D.R. Simpson,Guatteria scalarinervia,D. R. Simpson,1975,N/A,Peru,Loreto,Maynas,Alto Nanay,"Santa María, Río Nanay, distr. Alto Nanay, dept. Loreto, prov. Maynas","Santa María, Río Nanay",bosque húmedo tropical,Alt. 150 m,N/A,1731405 | 56344,Mix of Handwritten and Typed,Holotype,
https://fm-digital-assets.fieldmuseum.org/613/620/V0081497F.jpg,V0081497F,M. O. Dillon & D. Dillon,M. O. Dillon,D. Dillon,3776,1 Nov 1983,1983-11-01,N/A,Galvezia elisensii M.O. Dillon & Quipuscoa,Galvezia elisensii,unsure and check,N/A,N/A,Peru,Arequipa,Caraveli,N/A,"Lomas of Atiquipa, ca. 10.5 km N of turn-off to Atiquipa. KM 584 S of Lima. ca. 150-200 m.","Lomas of Atiquipa, approximately 10.5 kilometers north of turn-off to Atiquipa, kilometer 584 south of Lima","Erect, glutinous shrub to 0.75 meters; flowers red",ca. 150-200 m.,N/A,NP 1940835,Mix of Handwritten and Typed,holotype,
https://fm-digital-assets.fieldmuseum.org/40/414/V0042484F.jpg,V0042484F,Poepp.,E. F. Poepp.,N/A,f. A. 7,1830,1830-00-00,N/A,Tetrorchidium rubrivenium Prepp. et Müll. genuinum Müll. Arg. det. F. Pax.,Tetrorchidium rubrivenium,F. Pax.,N/A,N/A,Peru,Huabaza,N/A,Jocach,"Jocach. Huabaza, 1830.",Jocach,N/A,N/A,N/A,875422 | 60787,Mix of Handwritten and Typed,Isosyntype,
