Entry,verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus
Entry 18,J. M. Fay 8294,J. M. Fay,,8294,4 March 1988,1988-03-04,,Millettia zechiana Harms,Millettia zechiana Harms,Ake Assi,1988,"Guibourtia demeusei, Berlinia sp., Bombax sp.",CAMEROON,,,,"On the Sangha River across from Ndakan gorilla study area. In seasonally flooded forest with Guibourtia demeusei, Berlinia sp., Bombax sp.","On the Sangha River across from Ndakan gorilla study area. In seasonally flooded forest with Guibourtia demeusei, Berlinia sp., Bombax sp.","Abundant understory tree, 5 m, 10 cm diam.",385 m,02°20'N 16°08'E,NCI# Leaves Q67P/0545-C | Wood Q67P/0546-H | Bark Q67P/0547-I | Root Q67P/0548-J,Typed,no type status
Entry 19,Coll. F.A.Melville,F. A. Melville,,199,29.vii.1959,1959-07-29,,Phaseolus lunatus L.,Phaseolus lunatus L.,,,,Annobon,,,,"South West of Crater Lake. Clearing in wood, scrambling over herbage.","South West of Crater Lake. Clearing in wood, scrambling over herbage.","Clearing in wood, scrambling over herbage.","Alt. 1,500ft.",,1624518,Mix of Handwritten and Typed,no type status
Entry 20,"R. L. PIEMEISEL, L. W. KEPHART",R. L. Piemeisel,L. W. Kephart,2,"June 28-July 1, 1927",1927-06-28,1927-07-01,,,,,,Kenya,,,Muthaiga,"Muthaiga, near Nairobi; alt. 1,700 meters","Muthaiga, near Nairobi; alt. 1,700 meters",,"alt. 1,700 meters",,2074762,Typed,no type status
Entry 21,A. Léonard,A. Léonard,,3149,19/2 1959,1959-02-19,,Oxyanthus speciosus DC. subsp. indet.,Oxyanthus speciosus DC. subsp. indet.,B. Sonké,1989,,ZAIRE,Masisi,,,,,Vieille forêt secondaire,1900m,,2086095,Mix of Handwritten and Typed,no type status
Entry 22,récolté par le R. P. KLAINE,R. P. KLAINE,,s.n.,25 Mars 1904,1904-03-25,,Klaineanthus gabonii Pierre,Klaineanthus gabonii Pierre,,,,Gabon,,,,Herbier des environs de LIBREVILLE,environs de LIBREVILLE,,,,3200|781173,Handwritten,no type status
Entry 23,James T. Allen 41,J. T. Allen,,41,"September 23, 1996",1996-09-23,,Dissotis rotundifolia (Sm.) Triana,Dissotis rotundifolia (Sm.) Triana,,,,Ghana,Volta Region,,Larteh,Center for Scientific Research into Plant Medicine (CSRPM) farm,Center for Scientific Research into Plant Medicine (CSRPM) farm,Anti-asthmatic; treating coughs and colds; antipyretic; for dysentery. Applied topically-arthritis,,,2200652,Typed,no type status
Entry 24,J.E.Andoh,J. E. Andoh,,5632,March 1952,1952-03-00,,Chrysophyllum perpulchrum Mildbr.,Chrysophyllum perpulchrum Mildbr.,,,,Gold Coast,Ashanti Prov.,Kumasi District,Kumasi,Kumasi Township Forest Reserve,Kumasi Township Forest Reserve,Medium sized tree 30ft. high and 2ft. girth. Planted in 1933,,,1601919,Typed,no type status
Entry 25,J. Nemba & D.W. Thomas,J. Nemba,D.W. Thomas,520,15 June 1987,1987-06-15,,Donella welwitschii Pierre ex Engl.,Donella welwitschii Pierre ex Engl.,D.W. Thomas,1987,,CAMEROON,SOUTHWEST,,,Prov. SOUTHWEST: Secondary growth and old growth forest along Kumba-Mamfe road at mile 14 Lkiliwindi. 04°44'N 09°29'E 200 m,Secondary growth and old growth forest along Kumba-Mamfe road at mile 14 Lkiliwindi,"Liana, buds green, flowers white, leaves green",200 m,04°44'N 09°29'E,"NCI# Leaves, Stems Q66Q/0052-L|N° 2041320",Typed,no type status
Entry 26,J. Deaw,J. Deaw,,Sp 283,4/10/71,1971-10-04,,Eugenia coronata,Eugenia coronata,A.A. Enti,1971,,Ghana,,,Accra,Accra,Accra,"A shrub about 6' high. Flowering pedicels fascicled. Fruit ellipsoid, calyx persistent at the apex",,,1753421,Typed,no type status
Entry 27,colligerunt G. Schweinfurth et D. Riva,G. Schweinfurth,D. Riva,1814,1 mai 1892,1892-05-01,,Rumex nervosus V.,Rumex nervosus V.,,,,Colonia Eritrea,,,,Saganéiti pente du Nord au-dessous d'Addi-Abbour,Saganéiti pente du Nord au-dessous d'Addi-Abbour,,Altitudo 2300/2100 m,,,Typed,no type status
Entry 28,Coll. R.B. & A.J. Faden,R. B. Faden,A. J. Faden,77/711,7 March 1977,1977-03-07,,Toddaliopsis sansibarensis (Engl.) Engl.,Toddaliopsis sansibarensis (Engl.) Engl.,J. O. Kokwaro,,Combretum schumannii,Kenya,K7,Kwale District,,"Kenya, K7, Kwale District, Chale Peninsula, ca. 4°26'S, 39°32'30""E. Alt 0-5 m. Coral rag dry forest with Combretum schumannii dominant","Chale Peninsula, Coral rag dry forest with Combretum schumannii dominant",Coral rag dry forest with Combretum schumannii dominant,Alt 0-5 m,"4°26'S, 39°32'30""E",2153520,Typed,no type status
Entry 29,F. SZAFRANSKI,F. Szafranski,,1378,5.2.1988,1988-02-05,,Floscopa glomerata (Roem. et Schult.) Hassk.,Floscopa glomerata (Roem. et Schult.) Hassk.,,,,Zaïre,Haut-Zaïre,Haut-Uele,Isiro,"Haut-Zaïre, S-Rég. Haut-Uele, Isiro",bas fond marécageux près de la route aux environs de l'usine SOTEXKI,bas fond marécageux près de la route aux environs de l'usine SOTEXKI,,,2054694,Typed,no type status
Entry 30,Coll. F.W.H.Migeod,F. W. H. Migeod,,394,26. 1. 1928,1928-01-26,,Solanum sp.,Solanum aculeatissimum Jacq.,M. Nee,"Dec. 3,1997",,"AFRICA. Bamenda, British Cameroons",Bamenda,British Cameroons,,"Alt.5,500 ft.","Alt.5,500 ft.",Shrub very thorny and spinous. Flower not seen. Fruit pale yellow 1 in. diam. soft.,"5,500 ft.",,1441275,Mix of Handwritten and Typed,no type status
Entry 31,T.C. Wrigley 52,T. C. Wrigley,F. A. Melville,52,18 July 1959,1959-07-18,,Cassipourea annobonensis Mildbr. ex Alston,Cassipourea annobonensis Mildbr. ex Alston,A. W. Exell,1961,,Annobon,,,,ANNOBON: Ridge west of Crater Lake,Ridge west of Crater Lake,Open woodland. Small sepals; green petals; white filament tube with 10 stamens,1200ft. Alt,,1624568,Mix of Handwritten and Typed,no type status
Entry 32,William Burger,William Burger,,1767,27 May 1962,1962-05-27,,Rubus apetalus Poir,Rubus apetalus Poir,WB/Kew!,,Podocarpus + Juniperus,Ethiopia,Harar,,,Near G. Ades ±18Km E. of Hirna along new hwy. Steep slopes with remnant Podocarpus + Juniperus forest Alt. 9200 feet (9°17'N × 41°13'E),Near G. Ades ±18Km East of Hirna along new highway. Steep slopes with remnant Podocarpus + Juniperus forest,"Forming bush 2.5m tall under Podocarpus, etc.",9200 feet,9°17'N × 41°13'E,,Mix of Handwritten and Typed,no type status
Entry 33,"J.D. Sauer, no. 3914",J. D. Sauer,,3914,15 June 1963,1963-06-15,,Aerva lanata (L.) Juss,Aerva lanata (L.) Juss,,,,Kenya,Coast Province,Kwale District,,"Beach ridge, shallow open coast. Bumburri Beach, N of Mombasa. Coast Province, Kwale District, near Mombasa","Beach ridge, shallow open coast. Bumburri Beach, N of Mombasa. near Mombasa","Beach ridge, shallow open coast",,,1595870,Typed,no type status
Entry 34,C. Vigne,C. Vigne,,4086,s.d.,,,Enantia polycarpa Engl. + Diels,Enantia polycarpa Engl. + Diels,,,,Gold Coast,,,,,[precise locality unknown],,,,839434,Typed,no type status
Entry 35,Eman Addo,Eman Addo,,1026,1999,1999-00-00,,Uvaria versicolor Pierre,Uvaria versicolor Pierre,,,,Ghana,,,,,[precise locality unknown],,,,2325255,Typed,no type status
Entry 36,A.A. Enti,A. A. Enti,,Sp 398,22/11/19 71,1971-11-22,,Pergularia daemia,Pergularia daemia,A. A. Enti,19 71,,Ghana,,,,Awutu - Winneba Road,Awutu - Winneba Road,"A climber among grasses. Flower white, conspicuous. Latex present",,,1253349,Typed,no type status
Entry 37,D.W. Thomas 6850,D. W. Thomas,,6850,1987,1987-00-00,,Cola flavovelutinia K. Schum,Cola flavovelutinia K. Schum,D. W. Thomas,1987,,CAMEROON,SOUTHWEST,,,PROV. SOUTHWEST: Korup National Park. Primary rain forest 05°02'N 08°50'E 60 m,PROV. SOUTHWEST: Korup National Park. Primary rain forest,"Understorey tree, 5 m tall",60 m,05°02'N 08°50'E,"NCI# Leaves, twigs Q66P/0029-T|N° 2041255",Typed,no type status
Entry 38,Sue A. Thompson 1522,S. A. Thompson,,1522,9 July 1984,1984-07-09,,Impatiens macroptera Hook.f.,Impatiens macroptera Hook.f.,,,,CAMEROON,Sud-Ouest,Fako,Bakingili,"Bakingili; 4°04'N, 9°02'E. Alt. 50-250 m. Trail up Mt. Cameroon",Bakingili; Trail up Mt. Cameroon,Erect herb up to 70 cm tall; growing on wet rocks; flowers purple,Alt. 50-250 m,"4°04'N, 9°02'E",N° 2086046,Typed,no type status
Entry 39,D. Wiens,D. Wiens,,4484,16-12-71,1971-12-16,,Englerina tenuifolia (Engl.) Gilli,Englerina tenuifolia (Engl.) Gilli,,,,Kenya,Kitui,,,4 km n. of Kangondi on road to Embu,4 km north of Kangondi on road to Embu,Thornbush,4500',,1861166,Typed,no type status
Entry 40,Sue A. Thompson & John E. Rawlins,S. A. Thompson,John E. Rawlins,1333,3 June 1984,1984-06-03,,Avicennia africana P. Beauv.,Avicennia africana P. Beauv.,,,,CAMEROON,Sud-Ouest,Fako,Bakingili,"Bakingili; 4°04'N, 9°02'E. Alt. 0 m. Seaside.",Bakingili; Seaside,Tree ca 2-3 m tall; bark with light blotches; flowers white,Alt. 0 m,"4°04'N, 9°02'E",N° 2088074,Typed,no type status
Entry 41,HERBIER G. TROUPIN,G. Troupin,,6347,18.2.1958,1958-02-18,,Glyphaea brevis (SPRENG.) MONACHINO,Glyphaea brevis (SPRENG.) MONACHINO,,,,,Kivu,Kalehe,,"Vers Km 110 route Kavumu-Walikale; Irangi, réserve IRSAC","Vers Km 110 route Kavumu-Walikale; Irangi, réserve IRSAC",forêt ombrophile. Catena II.500 m,850 - 900 m,,1548374,Mix of Handwritten and Typed,no type status
Entry 42,Legit: A. Pappi,A. Pappi,,2627,14-15.VIII.1902,1902-08-14,1902-08-15,Lavandula pubescens Decaisne,Lavandula pubescens Decaisne,T. M. Upson,2/4/1996,,ERITREA,ASSAORTA,,,LUNGO IL TORRENTE HADDAS,LUNGO IL TORRENTE HADDAS,,,,2652,Mix of Handwritten and Typed,no type status
Entry 43,William Burger,William Burger,,1453,"14 Feb, 1962",1962-02-14,,Juniperus procera Hochst ex Endl.,Juniperus procera Hochst ex Endl.,WB,,,Ethiopia,Harar,,,N.W face of Gara Mulatta Mtn. ca. 50 km due N of Harar 9°16'N+41°43'E alt 2500 - 3000 m,N.W face of Gara Mulatta Mtn. ca. 50 km due N of Harar,Trees 8-10m tall. ± 8600 feet taller on steep slopes with mixed forest,alt 2500 - 3000 m,9°16'N+41°43'E,1632855,Mix of Handwritten and Typed,no type status
Entry 44,B.D. Doku,B. D. Doku,,1,6/12/1972,1972-12-06,,TERMINALIA GLAUCESCENS,TERMINALIA GLAUCESCENS,,1972,,GHANA,VOLTA REGION,,HO,"HO, VOLTA REGION, GHANA","HO, VOLTA REGION, GHANA","A tree, to 40ft high, 6ft girth, wood yellow or brownish yellow",,,N° 2007210|GC,Handwritten,no type status
Entry 45,Amora Gettel leg. Schimper,Schimper,,1467,24. 11. 63,1863-11-24,,Ipomoea hederacea Chois.,Ipomoea hederacea Chois.,,,,Abyssinia,,,,Amora Gettel,Amora Gettel,,,,373793,Handwritten,no type status
Entry 46,D.W. Thomas & M. Etuge,D. W. Thomas,M. Etuge,6988,18 May 1987,1987-05-18,,Tapura africana Oliv.,Tapura africana Oliv.,D. W. Thomas,1987,,CAMEROON,SOUTHWEST,,Kumba,"PROV. SOUTHWEST: Degraded forest at Barombi Kang, Kumba",Degraded forest at Barombi Kang,"Tree, 15 m tall, with fluted trunk",150 m,04°36'N 09°27'E,NCI# Bark Q66P/0125-Y|Leaves Q66P/0261-W|№ 2040825,Typed,no type status
Entry 47,"Dr. EDGAR A. MEARNS, Collector",E. A. Mearns,,1114,"September 6 and 7, 1909",1909-09-06,1909-09-07,Evolvulus alsinoides L,Evolvulus alsinoides L.,,,,British East Africa,,,,"Vicinity of Thika, British East Africa; altitude about 1350 meters","Vicinity of Thika, British East Africa; altitude about 1350 meters",,about 1350 meters,,468387,Typed,no type status
Entry 48,G. Mac Naughton,G. Mac Naughton,,580,,,,Combretum Schumannii Engl.,Combretum Schumannii Engl.,,,,Kenya,,,,,[precise locality unknown],,,,856357,Typed,no type status
Entry 49,J. M. Fay 8271,J. M. Fay,,8271,28 February 1988,1988-02-28,,Combretum smeathmannii G. Don,Combretum smeathmannii G. Don,Ake Assi,1988,"Irvingia smithii, Guibourtia demeusei, Berlinia sp.",CAMEROON,,,,"Along the Sangha River adjacent to the island of Kilona. In riparian forest adjacent to seasonally flooded forest with Irvingia smithii, Guibourtia demeusei, Berlinia sp., Prec: 1400 mm 02°21'N 16°09'E 385 m","Along the Sangha River adjacent to the island of Kilona. In riparian forest adjacent to seasonally flooded forest with Irvingia smithii, Guibourtia demeusei, Berlinia sp., Prec: 1400 mm","Liana, common on river bank. Young fruits with pinkish tinge",385 m,02°21'N 16°09'E,2041248|NCI# Stem Q67F/0466-T|Leaves Q67F/0467-U,Typed,no type status
Entry 50,Coll. D.D. Soejarto,D. D. Soejarto,,4793,"April 1, 1978",1978-04-01,,Diospyros tricolor Hiern.,Diospyros tricolor Hiern.,,,Thespesia populnea and Sophora occidentalis,Ghana,Greater Accra,,Bortianor village,"Ghana: Greater Accra Province, Bortianor village, 20 km. West of Accra, sea coast","Ghana: Greater Accra Province, Bortianor village, 20 kilometers West of Accra, sea coast","Straggling shrub, in association with Thespesia populnea and Sophora occidentalis. Fruits green. Forming clumps just behind beach, on sandy soil. Common",,,1842606,Typed,no type status
Entry 51,Narciso Reyna R.,N. Reyna R.,,40,15 diciembre 1967,1967-12-15,,Guatteria scalarinervia D.R. Simpson,Guatteria scalarinervia D.R. Simpson,D.R. Simpson,,,Peru,Loreto,Maynas,Alto Nanay,"Santa María - Río Nanay, distr. Alto Nanay, dept. Loreto, prov. Maynas",Santa María - Río Nanay,"""Carahuasca amarilla"" - arbol, bosque húmedo tropical",Alt. 150 m,,1751405|229-I,Typed,HOLOTYPE
Entry 52,M. O. Dillon & D. Dillon,M. O. Dillon,D. Dillon,3776,1 Nov 1983,1983-11-01,,Galvezia fruticosa Gmel.,Galvezia elisensii M.O. Dillon & Quipuscoa,,,,Peru,Arequipa,Caraveli,,"Lomas of Atiquipa, ca. 10.5 km N of turn-off to Atiquipa. KM 584 S of Lima. ca. 150-200 m.","Lomas of Atiquipa, ca. 10.5 km N of turn-off to Atiquipa. KM 584 S of Lima. ca. 150-200 meters","Erect, glutinous shrub to 0.75 m.; flws. red.",ca. 150-200 m.,,N° 1940835,Typed,HOLOTYPE
Entry 53,,,,1915,1830,1830-00-00,,Tetrorchidium rubrivenium Popp. & Endl. var. genuinum Müll. Arg.,Tetrorchidium rubrivenium var. genuinum Müll. Arg.,F. Pax,,Achoornea peruviana Poepp.,,,,,Tocache. Huallaga,Tocache. Huallaga,,,,875422,Mix of Handwritten and Typed,Isosyntype
Entry 54,José Campos y O. Díaz 2490,J. Campos,O. Díaz,2490,9 Febrero 1996,1996-02-09,,Amorimia camporum W.R. Anderson,Amorimia camporum W.R. Anderson,W.R. Anderson,2006,,PERU,Cajamarca,San Ignacio,Distrito Chirinos,Entre La Catagua y Tablón,Entre La Catagua y Tablón,Trepadora; flor amarilla,550 - 650 m,05°19'S 078°47'W,N° 2296033,Typed,ISOTYPE
Entry 55,Ruiz et Pavón,Tafalla,,s.n.,(1778-1788),1778-00-00,1788-00-00,Nolana spathulata R & P,Nolana spathulata Ruiz & Pav.,A. Mesa,1981,,Peru,,,,,[precise locality unknown],,,,845155,Typed,ISOLECTOTYPE
Entry 56,Camilo Díaz y Antonio Peña,C. Díaz,A. Peña,8808,4 Diciembre 1996,1996-12-04,,ERICACEAE,Symplocos ovata Ståhl,B. Ståhl,2010,,PERU,Amazonas,Luya Province,Camporedondo,"Camporedondo, Tullanya, Pascana ""Pajaro Tigre""","Camporedondo, Tullanya, Pascana ""Pajaro Tigre""",Liana con frutos verdes. Pecúnculos largos,2250-2360 m,,N° 2296023,Typed,ISOTYPE
Entry 57,Ruiz et Pavón,H. Ruiz,J. Pavón,9/58,(1778-1788),1778-00-00,1788-00-00,Bomarea purpurea (R & P) Herb.,Bomarea purpurea (Ruiz & Pavón) Herb.,Hofreiter,2007,Alstroemeria purpurea Ruiz & Pav.,Peru,,,,Pillao,Pillao,,,,29201|916119,Mix of Handwritten and Typed,ISOTYPE
Entry 58,"V. Quipuscoa S., A. Sagástegui A., S. Leiva G. & M. Bejarano C.",V. Quipuscoa S.,A. Sagástegui A.|S. Leiva G.|M. Bejarano C.,1378,20 agosto 1998,1998-08-20,,Lithospermum cinerascens (A.DC.) Johnst.,Lithospermum leymebambense WEIGEND & NÜRK,Maximilian Weigend,September 2006,,PERU,Amazonas,Chachapoyas,Leymebamba,"Carretera a Celendín, entre Ishpingo - Pomacocha. Bosque montano fragmentado.","Carretera a Celendín, entre Ishpingo - Pomacocha. Bosque montano fragmentado.",Bosque montano fragmentado,2800-3000 m,,2211679,Typed,Isotype
Entry 59,COLL. LLEWELYN WILLIAMS,L. Williams,,6999,"JAN.-FEB., 1930",1930-01-00,1930-02-00,Norantea curva Macbr.,Marcgraviastrum mixtum (Triana & Planch.) Bedell,D. Giraldo-Cañas,2010,,PERU,SAN MARTIN,,SAN ROQUE,SAN ROQUE,SAN ROQUE,forest,ALT. 1350-1500 M.,,624474|65813,Typed,HOLOTYPE
Entry 60,Ruiz et Pavón,H. Ruiz,J. Pavón,s.n.,(1778-1788),1778-00-00,1788-00-00,Norantea obovata (R & P) G. Don,Marcgraviastrum obovatum (G.Don) Bedell,D. Giraldo-Cañas,2010,Norantea macroscypha Gilg,Peru,,,,Chacahuasi,Chacahuasi,,,,843295,Typed,ISOTYPE
Entry 61,Ruiz et Pavón,H. Ruiz,Pavón,s.n.,(1778-1788),1778-00-00,1788-00-00,Marcgravia obovata Fl. Peruv. ined.,Marcgraviastrum obovatum (G. Don) Bedell,J. Giraldo-Cañas,2010,Norantea obovata G. Don,Peru,,,,in vice-regno Peruviano et Chilensi,in vice-regno Peruviano et Chilensi,,,,842882,Mix of Handwritten and Typed,ISOTYPE
Entry 62,Robin B. Foster,R. B. Foster,,8752,13 Sept. 1982,1982-09-13,,Acidoton venezolanus (Pax.& Hoffm.) Webster,Acidoton venezolanus (Pax.& Hoffm.) Webster,M. J. Huft,1983,,PERU,Huánuco,Pachitea,,"Puerto Inca to Sungaro. Foot trail between Río Pachitea and Río Sungaro. Forested low hills and ravines. Alt. 250-300 m. 75°00'W, 9°18'S",Puerto Inca to Sungaro. Foot trail between Río Pachitea and Río Sungaro. Forested low hills and ravines,"Shrub, 3 m; large white stigma; fruit turning yellow, 3 parted",Alt. 250-300 m,"75°00'W, 9°18'S",1921102,Typed,no type status
Entry 63,José Schunke Vigo,J. Schunke Vigo,,6505,27 May 1964,1964-05-27,,Hippocrateaceae Salacia Tontelea or Cheiloclinium,Tontelea attenuata Miers,J. A. Lombardi,VI/1999-2000,,Perú,San Martín,,,"Quebrada Huicte (río Huallaga), in tall forest, 529 m alt","Quebrada Huicte (río Huallaga), in tall forest, 529 meters altitude","Liana 8-9 m long ""Murcuhuasca"" Medicinal plant used for rheumatism",529 m alt,,1751666,Typed,no type status
