accessURI,catalogNumber,verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus
https://fm-digital-assets.fieldmuseum.org/2453/856/V0597275F.jpg,V0597275F,P.C.M. Jansen,P. C. M. Jansen,,5996,14 April 1976,1976-04-14,,Cirsium vulgare (Savi) Ten.,Cirsium vulgare (Savi) Ten.,C C H Jongkind,1987,,Ethiopia,Harerge,,,"around Damata Village, near Alemaya. Between chat and Sorghum fields. c. 9°24' N, 42°01' E","around Damata Village, near Alemaya. Between chat and Sorghum fields","Herb, c. 1 m high. Stem whitish green. Leaves dark green above, whitish green beneath. Spines yellow. Involucre dark green. Disc flowers only, lilac red",2000m,c. 9°24' N 42°01' E,2302849,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2454/013/V0597626F.jpg,V0597626F,"Amanda Koch, Wilson Sakuda, AK61, October 22, 2003",A. Koch,W. Sakuda,AK61,"October 22, 2003",2003-10-22,,Acacia reficiens misera (Vatke) Brenan,Acacia reficiens misera (Vatke) Brenan,P Mutiso,"November 02, 2003",,Kenya,Kajiado,,,Kenya: Kajiado District Oloishoibor,Kenya: Kajiado District Oloishoibor,Dry bushland,,,2309478,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2454/080/V0597688F.jpg,V0597688F,J. Lebrun,J. Lebrun,,2409,Mars 1931,1931-03-00,,Albizia gummifera (Gmel.),Albizia gummifera (Gmel.),C A Smith,,,Congo Belge,Kibar,,,Congo Belge. Kibar. (Terr. Irumu),Congo Belge. Kibar. (Terr. Irumu),,,,867368,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2460/308/V0588237F.jpg,V0588237F,Verdcourt no 2077,B Verdcourt,,2077,25.12.1957,1957-12-25,,Digitaria pennata (Hochst.) Chiov,Digitaria pennata (Hochst.) Chiov,,,,Kenya,,,,Tsavo - Mtito Andei,Tsavo - Mtito Andei,,,,1559644,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2460/430/V0580026F.jpg,V0580026F,H. Callens s.j.,H Callens,,s.n.,Juillet 1958,1958-07-00,,Gaertnera paniculata,Gaertnera paniculata,H. Callens,1/9/58,,Congo Belge,,,Kisantu,Kisantu,[precise locality unknown],Foret secondaire,,,1732587.0,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2464/177/V0580516F.jpg,V0580516F,G. Troupin,G. Troupin,,6333,10/2/1958,1958-02-10,,Mikania cordata (Burm.f.) B.L.Robins,Mikania cordata (Burm.f.) B.L.Robins,,,,Congo,Kivu,Kalehe,,"Vers km 110,route Kavumu-Walekale; Irangi,réserve IRSAC","Vers km 110,route Kavumu-Walekale; Irangi,réserve IRSAC",Forêt ombrophile,850 - 900 m,,1543353,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2466/373/V0574490F.jpg,V0574490F,Gordon McPherson,G. McPherson,,13781,20 Mars 1989,1989-03-20,,Corynanthe mayumbensis (R. Good) N. Hallé,Corynanthe mayumbensis (R. Good) N. Hallé,Wilks & McPherson,1989,,Gabon,Ogooue-Ivindo,,,"Réserve de la Lopé, au sud d'Ayem; chantier Soforga","Réserve de la Lopé, au sud d'Ayem; chantier SOFORGA",Arbre 15 m; fruit brun; voucher de NCI; LF:Q66S-0223-G; BK:Q66S-0224-H; WD:366S-0225-I,c. 200 m,0°25'S 11°30'E,2040859.0,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2472/873/V0574226F.jpg,V0574226F,J. M. Fay,J. M. Fay,,8294,4 March 1988,1988-03-04,,Millettia zechiana Harms,Millettia zechiana Harms,Ake Assi,1988,"Guibourtia demeusei, Berlinia sp., Bombax sp",Cameroon,,,,On the Sangha River across from Ndakan gorilla study area,On the Sangha River across from Ndakan gorilla study area,"Abundant understory tree; 5 m, 10 cm diam",385 m,02°20'N 16°08'E,2041244.0,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2473/141/V0580728F.jpg,V0580728F,F.A.Melville,F. A. Melville,,199,29.vii.1959,1959-07-29,,Phaseolus lunatus L.,Phaseolus lunatus L.,,,,Equatorial Guinea,Annobon,,,"South West of Crater Lake. Clearing in wood, scrambling over bushes.","South West of Crater Lake. Clearing in wood, scrambling over bushes.","Standard greeny-yellow, keel green and white and twisted, wings first yellow, then white later.","1,500ft.",,1624518,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2473/209/V0578764F.jpg,V0578764F,"R. L. Piemeisel, L. W. Kephart",R. L. Piemeisel,L. W. Kephart,2,"June 28-July 1, 1927",1927-06-28,,,,,,,Kenya,,,,"Muthaiga, near Nairobi","Muthaiga, near Nairobi",,"1,700 meters",,2074762,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2474/564/V0594158F.jpg,V0594158F,A. Léonard,A. Léonard,,3149,19/2 1959,1959-02-19,,Oxyanthus speciosus DC. subsp. indet.,Oxyanthus speciosus DC. subsp. indet.,B Sonké,1989,,Zaire,,,Masisi,Masisi,[precise locality unknown],Vieille forêt secondaire,1900m,,2086095,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2477/449/V0573054F.jpg,V0573054F,récolté par le R. P. KLAINE,R. P. Klaine,,3200,25 Mars 1896,1896-03-25,,Klaineanthus gabonii Pierre,Klaineanthus gabonii Pierre,,,,Gabon,,,,Herbier des environs de Libreville (GABON),Herbier des environs de Libreville,,,,781173,Mix of Handwritten and Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2478/115/V0601010F.jpg,V0601010F,James T. Allen,J. T. Allen,,41,"September 23, 1996",1996-09-23,,Dissotis rotundifolia (Sm.) Triana,Dissotis rotundifolia (Sm.) Triana,,,,Ghana,Volta Region,,,Larteh; Center for Scientific Research into Plant Medicine (CSRPM) farm,Larteh; Center for Scientific Research into Plant Medicine (CSRPM) farm,Anti-asthmatic; treating coughs and colds; antipyretic; for dysentery. Applied topically-arthritis,,,2200652,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2478/233/V0602418F.jpg,V0602418F,J.E.Andoh,J. E. Andoh,,5632,March 1952,1952-03-00,,Chrysophyllum perpulchrum Mildbr.,Chrysophyllum perpulchrum Mildbr.,,,,Ghana,Ashanti,Kumasi District,,Kumasi Township Forest Reserve,Kumasi Township Forest Reserve,Medium sized tree 30ft. high and 2ft. girth. Planted in 1933,,,1601919,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2478/305/V0604513F.jpg,V0604513F,J. Nemba & D.W. Thomas,J. Nemba,D W Thomas,520,15 June 1987,1987-06-15,,Donella welwitschii Pierre ex Engl.,Donella welwitschii Pierre ex Engl.,D W Thomas,1987,,Cameroon,Southwest,,,Prov. SOUTHWEST: Secondary growth and old growth forest along Kumba-Mamfe road at mile 14 Lkiliwindi. 04°44'N 09°29'E 200 m,Secondary growth and old growth forest along Kumba-Mamfe road at mile 14 Lkiliwindi,Secondary growth and old growth forest,200 m,04°44'N 09°29'E,2041320.0,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2479/474/V0572217F.jpg,V0572217F,J. Deaw,J. Deaw,,Sp 283,4/10/71,1971-10-04,,Eugenia coronata,Eugenia coronata,A A Enti,71,,Ghana,,,Accra,Accra,[precise locality unknown],"A shrub about 6' high. Flowering pedicels fascicled. Fruit ellipsoid, calyx persistent at the apex",,,1753421.0,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2487/523/V0602609F.jpg,V0602609F,colligerunt G. Schweinfurth et D. Riva,G. Schweinfurth,D. Riva,1814,1 mai 1892,1892-05-01,,Rumex nervosus V.,Rumex nervosus V.,,,,Eritrea,,,PASS,Saganéiti pente du Nord au-dessous d'Addi-Abbour,Saganéiti pente du Nord au-dessous d'Addi-Abbour,,2300/2100 m,,PASS,Mix of Handwritten and Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2487/806/V0606178F.jpg,V0606178F,Coll. R.B. & A.J. Faden 77/711,R. B. Faden,A. J. Faden,77/711,7 March 1977,1977-03-07,,Toddaliopsis sansibarensis (Engl.) Engl.,Toddaliopsis sansibarensis (Engl.) Engl.,J O Kokwaro,,Combretum schumannii,Kenya,K7,,,"Chale Peninsula, ca. 4°26'S, 39°32'30""E",Chale Peninsula,Coral rag dry forest,0-5 m,"4°26'S, 39°32'30""E",2153520,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2487/920/V0603038F.jpg,V0603038F,F. Szafranski,F. Szafranski,,1378,5.2.1988,1988-02-05,,Floscopa glomerata (Roem. et Schult.) Hassk.,Floscopa glomerata (Roem. et Schult.) Hassk.,,,,Zaire,Haut-Uele,,Isiro,bas fond marécageux près de la route aux environs de l'usine SOCODIA,bas fond marécageux près de la route aux environs de l'usine SOCODIA,Bas fond marécageux,,,2084694,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2491/969/V0606676F.jpg,V0606676F,F.W.H.Migeod,F. W. H. Migeod,,394,26. 1. 1928,1928-01-26,,Solanum sp.,Solanum aculeatissimum Jacq.,M. Nee,"Dec. 3,1977",,Cameroon,Bamenda,,Bamenda,"AFRICA. Bamenda, British Cameroons. Alt.5,500 ft.",[precise locality unknown],Shrub very thorny and spinous. Flower not seen. Fruit pale yellow 1 in. diam. soft.,"5,500 ft",,1441275,Mix of Handwritten and Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2491/991/V0601406F.jpg,V0601406F,T.C. Wrigley 52,T. C. Wrigley,F. A. Melville,52,18 July 1959,1959-07-18,,Cassipourea annobonensis Mildbr. ex Alston,Cassipourea annobonensis Mildbr. ex Alston,A W Exell,1961,,Equatorial Guinea,,,,Annobon: Ridge west of Crater Lake,Ridge west of Crater Lake,Open woodland,1200ft,,1624568,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2493/436/V0604673F.jpg,V0604673F,William Burger,W. Burger,,1767,27 May 1962,1962-05-27,,Rubus apetalus Poir,Rubus apetalus Poir,WB/Kew,,,Ethiopia,Harar,,,Near G. Ades ±18Km E. of Hirna along new hwy. Steep slopes with remnant Podocarpus + Juniperus forest,Near G. Ades ±18 Kilometers East of Hirna along new highway. Steep slopes with remnant Podocarpus + Juniperus forest,"Forming bush 2.5m tall under Podocarpus, etc",9200 feet,9°17'N × 41°13'E,1825230,Mix of Handwritten and Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2499/501/V0565514F.jpg,V0565514F,J.D. Sauer,J. D. Sauer,,3914,15 June 1963,1963-06-15,,Aerva lanata (L.) Juss.,Aerva lanata (L.) Juss,,,,Kenya,Coast,Kwale District,,"Beach ridge, shallow open coast. Bumburri Beach, N of Mombasa. Coast Province, Kwale District, near Mombasa","Beach ridge, shallow open coast. Bumburri Beach, N of Mombasa. Coast Province, Kwale District, near Mombasa","Beach ridge, shallow open coast",,,PASS,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2499/556/V0565977F.jpg,V0565977F,C. Vigne,C. Vigne,,1408,s.d.,sd,,Enantia polycarpa Engl. + Diels,Enantia polycarpa Engl. + Diels,,,,Ghana,,,,Gold Coast,[precise locality unknown],,,,839434,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2499/686/V0566108F.jpg,V0566108F,Eman Addo,E. Addo,,1026,1999,1999-00-00,,Uvaria versicolor Pierre,Uvaria versicolor Pierre,,,,Ghana,,,,,[precise locality unknown],,,,2325285,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2500/629/V0567164F.jpg,V0567164F,A.A.Enti,A A Enti,,Sp 398,22/11/19 71,1971-11-22,,Pergularia daemia,Pergularia daemia,A A Enti,1971,,Ghana,,,,Awutu - Winneba Road,Awutu - Winneba Road,"A climber among grasses. Flower white, conspicuous. Latex present",,,1753348,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2501/420/V0591661F.jpg,V0591661F,D.W. Thomas 6850,D. W. Thomas,,6850,1987,1987-00-00,,Cola flavovelutinia K. Schum,Cola flavovelutinia K. Schum,D W Thomas,1987,,Cameroon,Southwest,,,Korup National Park,Korup National Park,Primary rain forest,60 m,05°02'N 08°50'E,2041255,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2504/891/V0567306F.jpg,V0567306F,Sue A. Thompson,S. A. Thompson,,1522,9 July 1984,1984-07-09,,Impatiens macroptera Hook.f.,Impatiens macroptera Hook.f.,,,,Cameroon,Sud-Ouest,Fako,,"Bakingili; 4°04'N, 9°02'E. Alt. 50-250 m. Trail up Mt. Cameroon",Bakingili; Trail up Mt. Cameroon,Erect herb up to 70 cm tall; growing on wet rocks; flowers purple,50-250 m,"4°04'N, 9°02'E",2086046,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2505/266/V0606921F.jpg,V0606921F,D. Wiens,D. Wiens,,4484,16-12-71,1971-12-16,,Englerina tenuifolia (Engl.) Gilli,Englerina tenuifolia (Engl.) Gilli,,,,Kenya,Kitui,,,4 km n. of Kangondi on road to Embu,4 km north of Kangondi on road to Embu,Thornshrub,4500',,1864166,Mix of Handwritten and Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2506/309/V0605928F.jpg,V0605928F,Sue A. Thompson & John E. Rawlins,S. A. Thompson,J. E. Rawlins,1333,3 June 1984,1984-06-03,,Avicennia africana P. Beauv.,Avicennia africana P. Beauv.,,,,Cameroon,Sud-Ouest,Fako,,"CAMEROON: Prov. Sud-Ouest: Dept. Fako: Bakingili; 4°04'N, 9°02'E. Alt. 0 m. Seaside.",Bakingili; Seaside,Tree ca 2-3 m tall; bark with light blotches; flowers white,0 m,"4°04'N, 9°02'E",2088074,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2511/134/V0605675F.jpg,V0605675F,G. Troupin,G. Troupin,,6347,18.2.1958,1958-02-18,,TILIAC. Glyphaea brevis (SPRENG.) MONACHINO,Glyphaea brevis (Spreng.) Monachino,,,,Congo,Kivu,Kalehe,,"Vers Km 110 route Kavumu-Walikale; Irangi, réserve IRSAC","Vers Km 110 route Kavumu-Walikale; Irangi, réserve IRSAC",Forêt ombrophile,850 - 900 m,,1543374,Mix of Handwritten and Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2511/772/V0571550F.jpg,V0571550F,A. Pappi,A. Pappi,,2627,14-15.VIII.1902,1902-08-14,1902-08-15,Lavandula pubescens Decaisne,Lavandula pubescens Decaisne,T M Upson,2/4/1996,,Eritrea,,,,Lungo il torrente Haddas,Lungo il torrente Haddas,PASS,,,1559413,Mix of Handwritten and Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2512/575/V0607392F.jpg,V0607392F,William Burger,W Burger,,1453,14 Feb. 1962,1962-02-14,,Juniperus procera Hochst. ex Endl.,Juniperus procera Hochst ex Endl.,W B,,,Ethiopia,Harar,,,N.W face of Gara Mulatta Mtn. ca. 50 km due N of Harar 9°16'N+41°43'E,N.W face of Gara Mulatta Mtn. ca. 50 km due N of Harar,Trees 8-10m tall. ± 8600 feet on steep slopes in mixed forest,2500 - 3000 m,9°16'N+41°43'E,1632855,Mix of Handwritten and Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2513/815/V0570163F.jpg,V0570163F,B.D. okosi,B D Okosi,,s.n.,10/12/1972,1972-12-10,,Terminalia glaucescens,Terminalia glaucescens,,1972,,Ghana,Volta Region,,Ho,"HO, VOLTA REGION GHANA",[precise locality unknown],"A tree, to 40ft high 6ft girth, wood yellow or brownish yellow",,,2007210,Mix of Handwritten and Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2514/094/V0570543F.jpg,V0570543F,Amora Gettel leg. Schimper,Schimper,,1467,24.11.63,1863-11-24,,Ipomoea tenuirostris Chois,Ipomoea tenuirostris Chois,,,,Ethiopia,,,,Abyssinia,[precise locality unknown],,,,373793,Mix of Handwritten and Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2514/378/V0607965F.jpg,V0607965F,D.W. Thomas & M. Etuge,D. W. Thomas,M. Etuge,6988,18 May 1987,1987-05-18,,Tapura africana Oliv.,Tapura africana Oliv.,D W Thomas,1987,,Cameroon,Southwest,,Kumba,"PROV. SOUTHWEST: Degraded forest at Barombi Kang, Kumba",Degraded forest at Barombi Kang,Degraded forest,150 m,04°36'N 09°27'E,2040825,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2514/765/V0570471F.jpg,V0570471F,"Dr. EDGAR A. MEARNS, Collector",E. A. Mearns,,1114,"September 6 and 7, 1909",1909-09-06,1909-09-07,Evolvulus alsinoides L.,Evolvulus alsinoides L.,,,,Kenya,,,,"Vicinity of Thika, British East Africa",Vicinity of Thika,,about 1350 meters,,468287,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2514/997/V0570108F.jpg,V0570108F,G. Mac Naughton,G Mac Naughton,,580,s.d.,sd,,Combretum Schumannii Engl.,Combretum schumannii Engl.,,,,Kenya,,,,,[precise locality unknown],,,,856357,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2515/000/V0570110F.jpg,V0570110F,J. M. Fay,J. M. Fay,,8271,28 February 1988,1988-02-28,,Combretum smeathmannii G. Don,Combretum smeathmannii G. Don,Ake Assi,1988,"Irvingia smithii, Guibourtia demeusei, Berlinia sp.",Cameroon,PASS,,,"Along the Sangha River adjacent to the island of Kilona. In riparian forest adjacent to seasonally flooded forest with Irvingia smithii, Guibourtia demeusei, Berlinia sp., Prec: 1400 mm","Along the Sangha River adjacent to the island of Kilona. In riparian forest adjacent to seasonally flooded forest with Irvingia smithii, Guibourtia demeusei, Berlinia sp., Prec: 1400 mm",In riparian forest adjacent to seasonally flooded forest,385 m,02°21'N 16°09'E,2041248.0,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2522/077/V0590787F.jpg,V0590787F,D.D. Soejarto,D. D. Soejarto,,4793,"April 1, 1978",1978-04-01,,Diospyros tricolor Hiern.,Diospyros tricolor Hiern.,,,Thespesia populnea and Sophora occidentalis,Ghana,Greater Accra,,Bortianor village,"Ghana: Greater Accra Province, Bortianor village, 20 km. West of Accra, sea coast","Ghana: Greater Accra Province, Bortianor village, 20 kilometers West of Accra, sea coast","Straggling shrub, in association with Thespesia populnea and Sophora occidentalis. Fruits green. Forming clumps just behind beach, on sandy soil. Common",,,1842606,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/39/558/V0040586F.jpg,V0040586F,Narciso Reyna R.,N Reyna R,,40,15 diciembre 1967,1967-12-15,,Guatteria scalarinervia D.R. Simpson sp. nov.,Guatteria scalarinervia D.R. Simpson,D R Simpson,,,Peru,Loreto,Maynas,,"Santa María - Río Nanay, distr. Alto Nanay, dept. Loreto, prov. Maynas ","Santa María - Río Nanay, distr. Alto Nanay, dept. Loreto, prov. Maynas","""Carahuasca amarilla"" - arbol, bosque húmedo tropical",150 m,,1751405.0,Mix of Handwritten and Typed,Holotype
https://fm-digital-assets.fieldmuseum.org/613/620/V0081497F.jpg,V0081497F,M. O. Dillon & D. Dillon,M. O. Dillon,D. Dillon,3776,1 Nov 1983,1983-11-01,,Galvezia fruticosa Gmel.,Galvezia elisensii M.O. Dillon & Quipuscoa,,,,Peru,Arequipa,Caraveli,,"Lomas of Atiquipa, ca. 10.5 km N of turn-off to Atiquipa. KM 584 S of Lima. ca. 150-200 m","Lomas of Atiquipa, ca. 10.5 km N of turn-off to Atiquipa. KM 584 S of Lima","Erect, glutinous shrub to 0.75 m.; flws. red",ca. 150-200 m,,1940835,Typed,Holotype
https://fm-digital-assets.fieldmuseum.org/40/414/V0042484F.jpg,V0042484F,,,,1915,1830,1830-00-00,,Tetrorchidium rubrivenium Popp. & Endl. var. genuinum Müll. Arg.,Tetrorchidium rubrivenium Poepp. et Endl. var. genuinum Müll. Arg.,F Pax,,,Peru,,,,"Tocache Maynas, Tocache. Huallaga","Tocache Maynas, Tocache. Huallaga",,,,875422.0,Mix of Handwritten and Typed,Isosyntype
https://fm-digital-assets.fieldmuseum.org/281/725/V0092855F.jpg,V0092855F,José Campos y O. Díaz 2490,J. Campos,O. Díaz,2490,9 Febrero 1996,1996-02-09,,Amorimia camporum W.R. Anderson,Amorimia camporum W.R. Anderson,W. R. Anderson,2006,,Peru,Cajamarca,San Ignacio,,Distrito Chirinos: Entre La Catagua y Tablón,Entre La Catagua y Tablón,Trepadora; flor amarilla,550 - 650 m,05°19'S 078°47'W,2296033,Typed,Isotype
https://fm-digital-assets.fieldmuseum.org/155/067/V0078059F.jpg,V0078059F,Ruiz et Pavón,Tafalla,PASS,s.n.,(1778-1788),1778-00-00,1788-00-00,Nolana spathulata R & P,Nolana spathulata Ruiz & Pav.,A. Mesa,1981,,Peru,,,,PASS,[precise locality unknown],,,,845155,Typed,Isolectotype
https://fm-digital-assets.fieldmuseum.org/281/732/V0092864F.jpg,V0092864F,Camilo Díaz y Antonio Peña,C. Díaz,A. Peña,8808,4 Diciembre 1996,1996-12-04,,Symplocos ovata Ståhl,Symplocos ovata Ståhl,B. Ståhl,2010,,Peru,Amazonas,Luya,Camporedondo,"Tullanya, Pascana ""Pajaro Tigre"". 2250-2360 m","Tullanya, Pascana ""Pajaro Tigre""",Liana con frutos verdes. Pecúnculos largos,2250-2360 m,,2296023,Typed,Isotype
https://fm-digital-assets.fieldmuseum.org/283/142/V0092900F.jpg,V0092900F,R & P,H Ruiz,J Pavón,9/58,1778-1788,1778-00-00,1788-00-00,Bomarea purpurea (R & P) Herb.,Bomarea purpurea (Ruiz & Pavón) Herb.,Hofreiter,2007,,Peru,,,,Pillao,Pillao,,,,916119,Mix of Handwritten and Typed,Isotype
https://fm-digital-assets.fieldmuseum.org/283/147/V0092906F.jpg,V0092906F,"V. Quipuscoa S., A. Sagástegui A., S. Leiva G. & M. Bejarano C.",V Quipuscoa S,A Sagástegui A | S Leiva G | M Bejarano C,1378,20 agosto 1998,1998-08-20,,Lithospermum cinerascens (A.DC.) Johnst.,"Lithospermum leymebambense WEIGEND & NÜRK, sp. nov. ined.",M. Weigend,September 2006,,Peru,Amazonas,Chachapoyas,Leymebamba,"Carretera a Celendín, entre Ishpingo -Pomacocha. Bosque montano fragmentado.","Carretera a Celendín, entre Ishpingo -Pomacocha. Bosque montano fragmentado.",Bosque montano fragmentado,2800-3000 m,,2211679,Typed,Isotype
