Entry,Images,verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus
Entry 11,"0011_V0597275F.jpg, 0011_V0597275F_collage.png",Collected by: P.C.M. Jansen,P. C. M. Jansen,N/A,5996,14 April 1976,1976-04-14,N/A,Cirsium vulgare (Savi) Ten.,Cirsium vulgare,C. C. H. Jongkind,1987,N/A,Ethiopia,Harerge,N/A,N/A,around Damata Village near Alemaya Between chat and Sorghum fields,around Damata Village near Alemaya,Between chat and Sorghum fields,2000m,c. 9°24' N 42°01' E,2302849,Typed,no type status
Entry 12,"0012_V0597626F.jpg, 0012_V0597626F_collage.png","Amanda Koch, Wilson Sakuda, AK61, October 22, 2003",A. Koch,W. Sakuda,AK61,"October 22, 2003",2003-10-22,N/A,Acacia reficiens misera (Vatke) Brenan,Acacia reficiens,P. Mutiso,"November 02, 2003",N/A,Kenya,Kajiado,Oloishobor,N/A,Maasai Name: Oldepe,Oldepe,Dry bushland,N/A,N/A,2309478,Typed,no type status
Entry 13,"0013_V0597688F.jpg, 0013_V0597688F_collage.png",J. Lebrun,J. Lebrun,N/A,2409,Mars 1931,1931-03-00,N/A,Albizzia gummifera (J. M. G.),Albizzia gummifera,C. A. Smith,N/A,N/A,Democratic Republic of the Congo,Lualaba,N/A,N/A,Lolo (Uele Itimbiri),Lolo,N/A,N/A,N/A,867368,Mix of Handwritten and Typed,no type status
Entry 14,"0014_V0588237F.jpg, 0014_V0588237F_collage.png",N/A,N/A,N/A,2077,25.12.1957,1957-12-25,N/A,Digitaria pennata (Hochst) Chiov,Digitaria pennata,N/A,N/A,N/A,Kenya,N/A,N/A,N/A,Tsavo - Mtito Andei Kenya,Tsavo - Mtito Andei,N/A,N/A,N/A,1559644,Mix of Handwritten and Typed,no type status
Entry 15,"0015_V0580026F.jpg, 0015_V0580026F_collage.png",N/A,N/A,N/A,s.n.,Juillet 1958,1958-07-00,N/A,Gaertnera paniculata,Gaertnera paniculata,H. Callens,1/9/58,N/A,Democratic Republic of the Congo,N/A,N/A,Kisantu,Kisantu (Congo Belge) Africa,[precise locality unknown],foret secondaire,N/A,N/A,158465,Typed,no type status
Entry 16,"0016_V0580516F.jpg, 0016_V0580516F_collage.png",G. Troupin,G. Troupin,N/A,6333,10/2/1958,1958-02-10,N/A,Mikani cordata (Burm.f.) B.L.Robins,Mikani cordata,N/A,N/A,N/A,Democratic Republic of the Congo,Kivu,Kelehe,N/A,Vers le 110 route Kavumu-Walikale pres reserve Tshelo,Vers le 110 route Kavumu-Walikale pres reserve Tshelo,"Foret ombrophile Canton 1,540 m",Alt 850 - 900 m,N/A,1543353,Typed,no type status
Entry 17,"0017_V0574490F.jpg, 0017_V0574490F_collage.png",Gordon McPherson 13781,G. McPherson,N/A,13781,20 Mars 1989,1989-03-20,N/A,Corynanthe mayumbensis (R. Good) N. Hallé,Corynanthe mayumbensis,Wilks | McPherson,1989,N/A,Gabon,Ogooue-Ivindo,N/A,N/A,Réserve de la Lopé au sud d'Ayem chantier SOFORGA,Réserve de la Lopé au sud d'Ayem chantier SOFORGA,Arbre 15 m fruit brun,c. 200 m,0°25'S 11°30'E,LF:Q665-0223-G BK:Q665-0224-H WD:Q665-0225-I,Typed,no type status
Entry 18,"0018_V0574226F.jpg, 0018_V0574226F_collage.png",J. M. Fay,J. M. Fay,N/A,8294,4 March 1988,1988-03-04,N/A,Millettia zechiana Harms,Millettia zechiana,A. Assi,1988,Guibourtia demeusei | Berlinia sp. | Bombax sp.,Cameroon,N/A,N/A,N/A,On the Sangha River across from Ndakan gorilla study area,On the Sangha River across from Ndakan gorilla study area,In seasonally flooded forest,385 m,02°20'N 16°08'E,NCI Leaves 067E/0545-C | Wood 067E/0546-H | Bark 067E/0547-I | Root 067E/0548-J,Typed,no type status
Entry 19,"0019_V0580728F.jpg, 0019_V0580728F_collage.png",Coll. F. A. Melville,F. A. Melville,N/A,199,29.vii.1959,1959-07-29,N/A,Phaseolus lunatus L.,Phaseolus lunatus,unsure and check,N/A,N/A,Equatorial Guinea,Annobón,N/A,N/A,South West of Crater Lake,South West of Crater Lake,Clearing in wood scrambling over herbage,"Alt. 1,500 ft.",N/A,1624518,Typed,no type status
Entry 20,"0020_V0578764F.jpg, 0020_V0578764F_collage.png",R. L. Piemeisel L. W. Kephart,R. L. Piemeisel,L. W. Kephart,2,June 28 1937,1937-06-28,N/A,N/A,N/A,N/A,N/A,N/A,Kenya,N/A,N/A,Nairobi,Muthaiga near Nairobi,Muthaiga near Nairobi,N/A,"alt. 1,700 meters",N/A,2074762,Typed,no type status
Entry 21,"0021_V0594158F.jpg, 0021_V0594158F_collage.png",A. Léonard,A. Léonard,N/A,3149,19/2 1959,1959-02-19,N/A,Oxyanthus speciosus DC. subsp. indet.,Oxyanthus speciosus,B. Sonké,1989,N/A,Democratic Republic of the Congo,North Kivu,N/A,Masisi,Masisi,Masisi,Vieille forêt secondaire,1900 m,N/A,2086095,Typed,no type status
Entry 22,"0022_V0573054F.jpg, 0022_V0573054F_collage.png",récolté par le R. P. Klaine,R. P. Klaine,N/A,3200,N/A,0000-00-00,N/A,Klainedoxa,Klainedoxa,N/A,N/A,N/A,Gabon,N/A,N/A,Libreville,Herbier des environs de Libreville,[precise locality unknown],fruit et arille rouge,N/A,N/A,781173,Mix of Handwritten and Typed,no type status
Entry 23,"0023_V0601010F.jpg, 0023_V0601010F_collage.png",James T. Allen,J. T. Allen,N/A,41,"September 23, 1996",1996-09-23,N/A,Dissotis rotundifolia (Sm.) Triana,Dissotis rotundifolia,N/A,N/A,N/A,Ghana,Volta,N/A,N/A,Larteh; Center for Scientific Research into Plant Medicine (CSRPM) farm,Larteh; Center for Scientific Research into Plant Medicine farm,Anti-asthmatic; treating coughs and colds; antipyretic; for dysentery; Applied topically-arthritis,N/A,N/A,2200652,Typed,no type status
Entry 24,"0024_V0602418F.jpg, 0024_V0602418F_collage.png",J E Andoh,J. E. Andoh,N/A,5632,March 1952,1952-03-00,N/A,Chrysophyllum perpulchrum Mildbr.,Chrysophyllum perpulchrum,N/A,N/A,N/A,Ghana,Ashanti,Kumasi,N/A,Kumasi Township Forest Reserve,Kumasi Township Forest Reserve,Medium sized tree 30 ft high and 2 ft girth Planted in 1935,N/A,N/A,1601919,Typed,no type status
Entry 25,"0025_V0604513F.jpg, 0025_V0604513F_collage.png",J. Nemba & D.W. Thomas 520,J. Nemba,D. W. Thomas,520,15 June 1987,1987-06-15,N/A,Donella welwitschii Pierre ex Engl.,Donella welwitschii,D. W. Thomas,1987,N/A,Cameroon,Southwest,N/A,N/A,Secondary growth and old growth forest along Kumba-Mamfe road at mile 14 Lkilwindi,Kumba-Mamfe road at mile 14 Lkilwindi,Secondary growth and old growth forest,200 m,04°44'N 09°29'E,Q66/0052-L,Typed,no type status
Entry 26,"0026_V0572217F.jpg, 0026_V0572217F_collage.png",J. Deaw,J. Deaw,N/A,Sp 283,4 10 71,1971-10-04,N/A,Eugenia coronata,Eugenia coronata,A. A. Enti,19,N/A,Ghana,N/A,N/A,Accra,Accra,[precise locality unknown],A shrub about 6 feet high flowering pedicels fascicled fruit ellipsoid calyx persistent at the apex,N/A,N/A,1753423,Typed,no type status
Entry 27,"0027_V0602609F.jpg, 0027_V0602609F_collage.png",coll. G. Schweinfurth et D. Riva,G. Schweinfurth,D. Riva,1814,1 mai 1892,1892-05-01,N/A,Rumex nervosus V.,Rumex nervosus,unsure and check,N/A,N/A,Eritrea,N/A,N/A,N/A,Saganeïti pente du Nord au dessous d'Addi-Abbougn,Saganeïti,N/A,2300/2100 m,N/A,71288,Mix of Handwritten and Typed,no type status
Entry 28,"0028_V0606178F.jpg, 0028_V0606178F_collage.png",Coll. R.B. & A.J. Faden 77/711,R. B. Faden,A. J. Faden,77/711,7 March 1977,1977-03-07,N/A,Toddaliopsis sansibarensis (Engl.) Engl. confirmed J.O. Kokwaro,Toddaliopsis sansibarensis,J. O. Kokwaro,N/A,Combretum schumannii,Kenya,Kwale,N/A,N/A,Kenya K7 Kwale District Chale Peninsula,Chale Peninsula,Coral rag dry forest,Alt 0-5 m,"ca. 4°26'S 39°32'30""E",2153520,Typed,no type status
Entry 29,"0029_V0603038F.jpg, 0029_V0603038F_collage.png",F. Szafranski,F. Szafranski,N/A,1378,5.2.1988,1988-02-05,N/A,Floscopa glomerata (Roem. et Schult.) Hassk.,Floscopa glomerata,N/A,N/A,N/A,Democratic Republic of the Congo,Haut-Uele,N/A,Isiro,Haut-Zaïre S-Rég Haut-Uele Isiro,[precise locality unknown],bas fond marécageux près de la route aux environs de l'usine SOCODIA,N/A,N/A,2084694,Typed,no type status
Entry 30,"0030_V0606676F.jpg, 0030_V0606676F_collage.png",Coll. F. W. H. Migeod,F. W. H. Migeod,N/A,394,25. 1. 1928.,1928-01-25,N/A,Solanum sp.,Solanum aculeatissimum,M. Nee,"Dec. 3, 1977",N/A,Cameroon,Northwest,N/A,Bamenda,Bamenda British Cameroons,Bamenda,Shrub very thorny and spinous,"Alt. 5,500 ft.",N/A,1441275,Typed,no type status
Entry 31,"0031_V0601406F.jpg, 0031_V0601406F_collage.png",T.C. Wrigley and F.A. Melville,T. C. Wrigley,F. A. Melville,52,18 July 1959,1959-07-18,N/A,Cassipourea annobonensis Mildbr. ex Alston,Cassipourea annobonensis,A. W. Exell,1961,N/A,Equatorial Guinea,Annobon,N/A,N/A,Ridge west of Crater Lake,Ridge west of Crater Lake,Open woodland,1200 m,N/A,1624568,Typed,no type status
Entry 32,"0032_V0604673F.jpg, 0032_V0604673F_collage.png",William Burger,W. Burger,N/A,1767,27 May 1962,1962-05-27,N/A,Rubus apetalus Poir,Rubus apetalus,W. B. Kwan,N/A,N/A,Ethiopia,Harar,N/A,N/A,Near G. Ades 18Km. e. of Hirna along new hwy steep slopes with remnant Podocarpus & juniperous forest,Near G. Ades 18 kilometers east of Hirna along new highway steep slopes,Forming bush 2.5m tall under Podocarpus etc,At 7200 feet,9°17'N 41°3'E,1825230,Mix of Handwritten and Typed,no type status
Entry 33,"0033_V0565514F.jpg, 0033_V0565514F_collage.png",J.D. Sauer,J. D. Sauer,N/A,3914,15 June 1963,1963-06-15,N/A,Aerva lanata (L.) Juss.,Aerva lanata,N/A,N/A,N/A,Kenya,Coast,Kwale,N/A,Bumburri Beach N of Mombasa,Bumburri Beach near Mombasa,Beach ridge shallow open coast,N/A,N/A,1595670,Typed,no type status
Entry 34,"0034_V0565977F.jpg, 0034_V0565977F_collage.png",C. Vigne,C. Vigne,N/A,4068,N/A,0000-00-00,N/A,Enantia polycarpa Engl. & Diels,Enantia polycarpa,N/A,N/A,N/A,Ghana,N/A,N/A,N/A,Gold Coast,[precise locality unknown],N/A,N/A,N/A,839434,Typed,no type status
Entry 35,"0035_V0566108F.jpg, 0035_V0566108F_collage.png",Eman Addo,E. Addo,N/A,1026,Collected in 1999,1999-00-00,N/A,Uvaria versicolor Pierre,Uvaria versicolor,N/A,N/A,N/A,Ghana,N/A,N/A,N/A,N/A,[precise locality unknown],N/A,N/A,N/A,2325285,Typed,no type status
Entry 36,"0036_V0567164F.jpg, 0036_V0567164F_collage.png",A.A. Enti,A. A. Enti,N/A,Sp 393,22 11 19 71,1971-11-22,N/A,Pergularia daemia,Pergularia daemia,A. A. Enti,19 71,N/A,Ghana,Central,N/A,N/A,Awutu - Winneba Road,Awutu - Winneba Road,A climber among grasses,N/A,N/A,1753348,Typed,no type status
Entry 37,"0037_V0591661F.jpg, 0037_V0591661F_collage.png",D.W. Thomas 6850,D. W. Thomas,N/A,6850,1987,1987-00-00,N/A,Cola flavovelutina K. Schum,Cola flavovelutina,D. W. Thomas,1987,N/A,Cameroon,Southwest,N/A,N/A,PROV. SOUTHWEST: Korup National Park,Korup National Park,Primary rain forest Understorey tree 5 m tall,60 m,05°02'N 08°50'E,2041255,Typed,no type status
Entry 38,"0038_V0567306F.jpg, 0038_V0567306F_collage.png",Sue A. Thompson 1522,S. A. Thompson,N/A,1522,9 July 1984,1984-07-09,N/A,Impatiens macroptera Hook.f.,Impatiens macroptera,N/A,N/A,N/A,Cameroon,Sud-Ouest,Fako,Bakingili,Trail up Mt. Cameroon,Trail up Mount Cameroon,Erect herb up to 70 cm tall growing on wet rocks flowers purple,Alt. 50-250 m.,4°04'N 9°02'E,2086046,Typed,no type status
Entry 39,"0039_V0606921F.jpg, 0039_V0606921F_collage.png",D. Wiens,D. Wiens,N/A,4484,16-12-71,1971-12-16,N/A,Englerina tenuifolia (Engl.) Gilli,Englerina tenuifolia,N/A,N/A,N/A,Kenya,Kitui,N/A,N/A,4 km n. of Kangondi on road to Embu,4 kilometers north of Kangondi on road to Embu,Thornshrub,4500 ft,N/A,1864166,Mix of Handwritten and Typed,no type status
Entry 40,"0040_V0605928F.jpg, 0040_V0605928F_collage.png",Sue A. Thompson 1333 & John E. Rawlins,S. A. Thompson,J. E. Rawlins,1333,3 June 1984,1984-06-03,N/A,Avicennia africana P. Beauv.,Avicennia africana,N/A,N/A,N/A,Cameroon,Sud-Ouest,Fako,Bakingili,Bakingili 4°04' N 9°02' E Alt. 0 m Seaside,Bakingili,Seaside Tree ca 2-3 m tall bark with light blotches flowers white,Alt. 0 m,4°04' N 9°02' E,2088074,Typed,no type status
Entry 41,"0041_V0605675F.jpg, 0041_V0605675F_collage.png",G. Troupin,G. Troupin,N/A,6347,12.9.1958,1958-09-12,N/A,Tithonia diversifolia (Hemsl.) A. Gray,Tithonia diversifolia,unsure and check,N/A,N/A,Democratic Republic of the Congo,Kivu,Itombwe,N/A,Vers la 110 route Kavumu-Kalonge,Vers la 110 route Kavumu-Kalonge,forêt ombrophile,850-900 m,N/A,1543374,Typed,no type status
Entry 42,"0042_V0571550F.jpg, 0042_V0571550F_collage.png",A. Pappi,A. Pappi,N/A,262,14-15.VIII.1902,1902-08-14,1902-08-15,Lavandula pubescens Decaisne,Lavandula pubescens,T. M. Upson,2/4/1996,N/A,Eritrea,N/A,N/A,N/A,Lungo il Torrente Haddas,Lungo il Torrente Haddas,N/A,N/A,N/A,1559413,Typed,no type status
Entry 43,"0043_V0607392F.jpg, 0043_V0607392F_collage.png",W. M. Burger,W. M. Burger,N/A,1453,14 Feb. 1962,1962-02-14,N/A,Juniperus procera Hochst. ex Endl.,Juniperus procera,W. B.,N/A,N/A,Ethiopia,Harar,N/A,N/A,N. W. face of Gara Mullata Mtn. ca. 50 km due W of Harar 9°16'N 41°43'E alt 2500-3000 m,N. W. face of Gara Mullata Mountain approximately 50 kilometers due west of Harar,Taller on steep slopes with mixed forest,8600 feet alt 2500-3000 m,9°16'N 41°43'E,1632855,Mix of Handwritten and Typed,no type status
Entry 44,"0044_V0570163F.jpg, 0044_V0570163F_collage.png",G. B. D. Coker No. 1,G. B. D. Coker,N/A,No. 1,10/12/1972,1972-12-10,N/A,Terminalia glaucescens,Terminalia glaucescens,N/A,1972,N/A,Ghana,Volta Region,N/A,Ho,Ho Volta Region Ghana,Ho,A tree to 40 feet high 6 feet girth wood yellow or brownish yellow,N/A,N/A,2007210,Mix of Handwritten and Typed,no type status
Entry 45,"0045_V0570543F.jpg, 0045_V0570543F_collage.png",leg. Schimper,W. Schimper,N/A,1467,24.11.63,1863-11-24,N/A,Ipomoea cummunis; Chois.,Ipomoea cummunis,unsure and check,N/A,N/A,Ethiopia,unsure and check,N/A,N/A,Amora Galla,Amora Galla,N/A,N/A,N/A,373793,Mix of Handwritten and Typed,no type status
Entry 46,"0046_V0607965F.jpg, 0046_V0607965F_collage.png",D.W. Thomas & M. Etuge,D. W. Thomas,M. Etuge,6988,18 May 1987,1987-05-18,N/A,Tapura africana Oliv.,Tapura africana,D. W. Thomas,1987,N/A,Cameroon,Southwest,N/A,N/A,Degraded forest at Barombi Kang Kumba,Barombi Kang Kumba,Degraded forest,150 m,04°36'N 09°27'E,2040825,Typed,no type status
Entry 47,"0047_V0570471F.jpg, 0047_V0570471F_collage.png",Edgar A. Mearns,E. A. Mearns,N/A,1114,"September 6 and 7, 1909",1909-09-06,1909-09-07,Evolvulus alsinoides L.,Evolvulus alsinoides,unsure and check,N/A,N/A,Kenya,N/A,N/A,N/A,Vicinity of Thika British East Africa,Vicinity of Thika,N/A,altitude about 1350 meters,N/A,468287,Typed,no type status
Entry 48,"0048_V0570108F.jpg, 0048_V0570108F_collage.png",G MacNaughton,G. MacNaughton,N/A,580,s.d.,0000-00-00,N/A,Combretum schumannii Engl.,Combretum schumannii,unsure and check,N/A,N/A,Kenya,N/A,N/A,N/A,N/A,[precise locality unknown],N/A,N/A,N/A,856357,Typed,no type status
Entry 49,"0049_V0570110F.jpg, 0049_V0570110F_collage.png",J. M. Fay 8271,J. M. Fay,N/A,8271,28 February 1988,1988-02-28,N/A,Combretum smeathmannii G. Don,Combretum smeathmannii,A. Assi,1988,Irvingia smithii | Guibourtia demensii | Berlinia sp.,Cameroon,N/A,N/A,N/A,Along the Sangha River adjacent to the island of Kilona,Along the Sangha River adjacent to the island of Kilona,In riparian forest adjacent to seasonally flooded forest,385 m,02°21'N 16°09'E,NCI# Stem 067E/0466-T | Leaves 067E/0467-U,Typed,no type status
Entry 50,"0050_V0590787F.jpg, 0050_V0590787F_collage.png",Coll. D.D. Soejarto,D. D. Soejarto,N/A,4793,"April 1, 1978",1978-04-01,N/A,Diospyros tricolor Hiern.,Diospyros tricolor,unsure and check,N/A,Thespesia populnea | Sophora occidentalis,Ghana,Greater Accra,N/A,Bortianor,"20 km. West of Accra, Sea coast","20 kilometers West of Accra, Sea coast","Straggling shrub, in association with Thespesia populnea and Sophora occidentalis. Fruits green. Forming clumps just behind beach, on sandy soil. Common",N/A,N/A,1842606,Mix of Handwritten and Typed,no type status
Entry 51,"0051_V0040586F.jpg, 0051_V0040586F_collage.png",Narciso Reyna R. 40,N. Reyna,N/A,40,15 diciembre 1967,1967-12-15,N/A,Guatteria scalarinervia D. R. Simpson,Guatteria scalarinervia,D. R. Simpson,1975,N/A,Peru,Loreto,Maynas,Alto Nanay,Santa María - Río Nanay distr. Alto Nanay dept. Loreto prov. Maynas,Santa María - Río Nanay,arbol bosque húmedo tropical,Alt. 150 m,N/A,229-I,Typed,Holotype
Entry 52,"0052_V0081497F.jpg, 0052_V0081497F_collage.png",M. O. Dillon & D. Dillon,M. O. Dillon,D. Dillon,3776,1 Nov 1983,1983-11-01,N/A,Galvezia fruticosa Gmel.,Galvezia elisensii,unsure and check,unsure and check,N/A,Peru,Arequipa,Caraveli,N/A,Lomas of Atiquipa ca. 10.5 km N of turn-off to Atiquipa KM 584 S of Lima ca. 150-200 m,Lomas of Atiquipa ca. 10.5 kilometers North of turn-off to Atiquipa Kilometer 584 South of Lima,Erect glutinous shrub to 0.75 meters flowers red,ca. 150-200 m,N/A,1940835,Typed,Holotype
Entry 53,"0053_V0042484F.jpg, 0053_V0042484F_collage.png",Frank Habbeg,F. Habbeg,N/A,1915,1830,1830-00-00,N/A,Tetrorchidium rubrivenium var. genuinum Müll. Arg.,Tetrorchidium rubrivenium,F. Pax,N/A,N/A,N/A,N/A,N/A,N/A,N/A,[precise locality unknown],N/A,N/A,N/A,60787,Mix of Handwritten and Typed,Isosyntype
Entry 54,"0054_V0092855F.jpg, 0054_V0092855F_collage.png",José Campos y O. Díaz 2490,J. Campos,O. Díaz,2490,9 Febrero 1996,1996-02-09,N/A,Amorimia camporum W.R. Anderson,Amorimia camporum,W. R. Anderson,2006,N/A,Peru,Cajamarca,San Ignacio,N/A,Distrito Chirinos: Entre La Catagua y Tablón,Entre La Catagua y Tablón,Trepadora; flor amarilla,550 - 650 m,05°19'S 078°47'W,2296033,Typed,Isotype
Entry 55,"0055_V0078059F.jpg, 0055_V0078059F_collage.png",Tafalla collected with and for Ruiz & Pavon,H. Ruiz,J. Pavon | Tafalla,s.n.,14 November 1784,1784-11-14,N/A,Nolana spathulata R & P,Nolana spathulata,A. Mesa,1981,N/A,Peru,N/A,N/A,N/A,N/A,[precise locality unknown],N/A,N/A,N/A,845155,Typed,Isolectotype
Entry 56,"0056_V0092864F.jpg, 0056_V0092864F_collage.png",Camilo Díaz y Antonio Peña 8808,C. Díaz,A. Peña,8808,4 Diciembre 1996,1996-12-04,N/A,Symplocos ovata Ståhl,Symplocos ovata,B. Ståhl,2010,N/A,Peru,Amazonas,Luya,N/A,"Camporredondo Tullanya Pascana ""Pajaro Tigre""","Camporredondo Tullanya Pascana ""Pajaro Tigre""",Liana con frutos verdes Pedúnculos largos,2250-2360 m,N/A,2296023,Typed,Isotype
Entry 57,"0057_V0092900F.jpg, 0057_V0092900F_collage.png",R & P,R. P.,N/A,9/58,1778-1788,1778-00-00,1788-00-00,Bomarea purpurea (Ruiz & Pavón) Herb.,Bomarea purpurea,N. Hofreiter,2007,N/A,Peru,N/A,N/A,Pillao,N/A,[precise locality unknown],N/A,N/A,N/A,916119,Mix of Handwritten and Typed,isotype
Entry 58,"0058_V0092906F.jpg, 0058_V0092906F_collage.png",V. Quipuscoa S. A. Sagástegui A. S. Leiva G. M. Bejarano C.,V. Quipuscoa,A. Sagástegui | A. S. Leiva | G. M. Bejarano,1378,20 agosto 1998,1998-08-20,N/A,Lithospermum cinerascens (A.DC.) Johnst.,Lithospermum leymabambense,M. Weigend,Septiembre 2006,N/A,Peru,Amazonas,Chachapoyas,Leymebamba,Carretera a Celendín entre Ishpingo - Pomacocha,Carretera a Celendín between Ishpingo and Pomacocha,Bosque montano fragmentado,2800-3000 m,N/A,2211679,Typed,Isotype
Entry 59,"0059_V0092915F.jpg, 0059_V0092915F_collage.png",Llewellyn Williams,L. Williams,N/A,6999,1/1/1930,1930-01-01,N/A,Norantea cuneifolia Macbr.,Marcgraviastrum mixtum,D. Giraldo-Cañas,2010,N/A,Peru,San Martin,N/A,San Roque,Forest Roque San Martin,Forest Roque,Vine forest,Alt. 1350-1500 m,N/A,65813,Mix of Handwritten and Typed,Holotype
Entry 60,"0060_V0092918F.jpg, 0060_V0092918F_collage.png",Ruiz et Pavón,N/A,N/A,s.n.,1778-1788,1778-00-00,1788-00-00,Norantea obovata (R & P) G. Don,Marcgraviastrum obovatum,D. Giraldo-Cañas | H. G. Bedell,2010 | VIII 1982,N/A,Peru,N/A,N/A,N/A,Chachapoyas,Chachapoyas,N/A,N/A,N/A,843295,Mix of Handwritten and Typed,Isotype
