accessURI,catalogNumber,verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,substrate,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus
https://fm-digital-assets.fieldmuseum.org/2499/556/V0565977F.jpg,V0565977F,C. Vigne,C. Vigne,N/A,4086,s.d.,s.d.,N/A,Enantia polycarpa Engl. + Diels,Enantia polycarpa Engl. + Diels,N/A,N/A,N/A,Ghana,N/A,N/A,N/A,Gold Coast,[precise locality unknown],N/A,N/A,N/A,N/A,839434,Mix of Handwritten and Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2499/686/V0566108F.jpg,V0566108F,Eman Addo,E. Addo,N/A,1026,1999,1999-00-00,N/A,Uvaria versicolor Pierre,Uvaria versicolor Pierre,N/A,N/A,N/A,Ghana,N/A,N/A,N/A,N/A,[precise locality unknown],N/A,N/A,N/A,N/A,2325285,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2500/629/V0567164F.jpg,V0567164F,A.A.Enti,A. A. Enti,N/A,398,22/11/1971,1971-11-22,N/A,Pergularia daemia,Pergularia daemia,A.A.Enti,1971,N/A,Ghana,N/A,N/A,N/A,Awatu - Winneba road,Awutu-Winneba road,N/A,N/A,N/A,N/A,1753348,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2501/420/V0591661F.jpg,V0591661F,D.W. Thomas,D. W. Thomas,N/A,6850,1987,1987-00-00,N/A,Cola flavovelutinia K. Schum,Cola flavovelutinia K. Schum,D.W. Thomas,1987,N/A,Cameroon,Southwest,N/A,N/A,Korup National Park,Korup National Park,Primary rain forest,N/A,N/A,05°02'N 08°50'E,2041255,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2504/891/V0567306F.jpg,V0567306F,Sue A. Thompson,S. A. Thompson,N/A,1522,9 July 1984,1984-07-09,N/A,Impatiens macroptera Hook.f.,Impatiens macroptera Hook.f.,N/A,N/A,N/A,Cameroon,Fako,N/A,N/A,Prov. Sud-Ouest: Bakingili. Trail up Mt. Cameroon,Prov. Sud-Ouest: Bakingili. Trail up Mount Cameroon,N/A,rock,50-250 m,"04°04'N, 09°02'E",2086046,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2505/266/V0606921F.jpg,V0606921F,D. Wiens,D. Wiens,N/A,4484,16-12-71,1971-12-16,N/A,Englerina tenuifolia (Engl.) Gilli,Tapinanthus,N/A,N/A,N/A,Kenya,N/A,N/A,N/A,4 km n of Kangondi on road to Embu,4 km north of Kangondi on road to Embu,N/A,N/A,4500',N/A,1864166,Mix of Handwritten and Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2506/309/V0605928F.jpg,V0605928F,Sue A. Thompson & John E. Rawlins,S. A. Thompson,J. E. Rawlins,1333,3 June 1984,1984-06-03,N/A,Avicennia africana P. Beauv.,Avicennia africana P. Beauv.,N/A,N/A,N/A,Cameroon,Fako,N/A,N/A,Prov. Sud-Ouest: Dept. Fako: Bakingili,Prov. Sud-Ouest: Bakingili,Seaside,N/A,0 m.,"4°04'N, 09°02'E",2088074,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2511/134/V0605675F.jpg,V0605675F,G. Troupin,G. Troupin,N/A,6347,18.2.1958,1958-02-18,N/A,Glyphaea brevis (Spreng.) Monachino,Glyphaea brevis (Spreng.) Monachino,N/A,N/A,N/A,"Congo, the Democratic Republic of the",Kivu,N/A,N/A,"Kalehe. Vers Km 110 route Kavumu-Walikale;Irangi,réserve IRSAC","Kalehe, Kavumu-Walikale route, vers Km 110, Irangi, IRSAC Réserve",Forêt ombrophile,N/A,850 - 900 m.,N/A,1543374,Mix of Handwritten and Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2511/772/V0571550F.jpg,V0571550F,A. Pappi,A. Pappi,N/A,2627,14-15.VIII.1902,1902-08-14,1902-08-15,Lavandula pubescens Decaisne,Lavandula pubescens Decaisne,T.M. Upson,2/4/1996,N/A,Eritrea,N/A,N/A,N/A,Lungo il torrente Haddas,Lungo il torrente Haddas,Lungo torrente,N/A,N/A,N/A,1559413,Mix of Handwritten and Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2512/575/V0607392F.jpg,V0607392F,William Burger,W. Burger,N/A,1453,14 Feb. 1962,1962-02-14,N/A,Juniperus procera Hochst. ex Endl.,Juniperus procera Hochst. ex Endl.,WB,N/A,N/A,Ethiopia,Harar,N/A,N/A,N.W face of Gara Mulatta Mtn. ca. 50 km due W of Harar,"Northwestern face of Gara Muleta Mountain, approximately 50 kilometers due west of Harar",Steep slopes with mixed forest,N/A,2500 - 3000m,9°16'N + 41°43'E,1632855,Mix of Handwritten and Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2513/815/V0570163F.jpg,V0570163F,O.B.Dokosi,O. B. Dokosi,N/A,s.n.,10/12/1972,1972-12-10,N/A,Terminalia glaucescens,Terminalia glaucescens,N/A,1972,N/A,Ghana,Volta,N/A,Ho,"Ho, Volta Region",[precise locality unknown],N/A,N/A,N/A,N/A,2007210,Mix of Handwritten and Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2514/094/V0570543F.jpg,V0570543F,Schimper,Schimper,N/A,1467,24.11.63,1863-11-24,N/A,Ipomoea tenuirostris Chois.,Ipomoea tenuirostris Chois.,N/A,N/A,N/A,Ethiopia,N/A,N/A,N/A,Abyssinia,[precise locality unknown],N/A,N/A,N/A,N/A,373793,Mix of Handwritten and Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2514/378/V0607965F.jpg,V0607965F,D.W. Thomas & M. Etuge,D. W. Thomas,M. Etuge,6988,18 May 1987,1987-05-18,N/A,Tapura africana Oliv.,Tapura africana Oliv.,D.W. Thomas,1987,N/A,Cameroon,Southwest,N/A,Kumba,"Prov. Southwest: Barombi Kang, Kumba",Barombi Kang,Degraded forest,N/A,150 m,4°36'N 09°27'E,2040825,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2514/765/V0570471F.jpg,V0570471F,Dr. Edgar A. Mearns,E. A. Mearns,N/A,1114,"September 6 and 7, 1909",1909-09-06,1909-09-07,Evolvulus alsinoides L.,Evolvulus alsinoides L.,N/A,N/A,N/A,Kenya,N/A,N/A,N/A,"Vicinity of Thika, British East Africa",Vicinity of Thika,N/A,N/A,about 1350 meters,N/A,468287,Mix of Handwritten and Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2514/997/V0570108F.jpg,V0570108F,G. Machaughton,G. Machaughton,N/A,580,s.d.,s.d.,N/A,Combretum schumannii Engl.,Combretum schumannii Engl.,N/A,N/A,N/A,Kenya,N/A,N/A,N/A,N/A,[precise locality unknown],N/A,N/A,N/A,N/A,856357,Mix of Handwritten and Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2515/000/V0570110F.jpg,V0570110F,J. M. Fay,J. M. Fay,N/A,8271,28 February 1988,1988-02-28,N/A,Combretum,Combretum smeathmannii G. Don,Ake Assi,1988,"Irvingia smithii, Guiboutia demensii, Berlinia sp.",Cameroon,Southeast,N/A,N/A,Along the Sangha River adjacent to the island of Kiloua,Along the Sangha River adjacent to the island of Kiloua,In riparian forest adjacent to seasonally flooded forest,N/A,385 m,02°21'N 16°09'E,2041248,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2522/077/V0590787F.jpg,V0590787F,D.D. Soejarto,D. D. Soejarto,N/A,4793,"April 1, 1978",1978-04-01,N/A,Diospyros tricolor Hiern.,Diospyros tricolor Hiern.,N/A,N/A,Thespesia populnea and Sophora occidentalis,Ghana,Greater Accra,N/A,N/A,"Bortianor village, 20 km. West of Accra","Bortianor village, 20 kilometers west of Accra",Sea coast,soil,N/A,N/A,1842606,Handwritten,no type status
https://fm-digital-assets.fieldmuseum.org/39/558/V0040586F.jpg,V0040586F,Narciso Reyna R.,N. Reyna R.,N/A,40,15 diciembre 1967,1967-12-15,N/A,Guatteria scalarinervia D. Simp. sp. nov.,Guatteria scalarinervia D. Simp. sp. nov.,N/A,N/A,N/A,Peru,Loreto,Maynas,N/A,"Santa María - Río Nanay, distr. Alto Nanay, dept. Loreto, prov. Maynas ","Alto Nanay District, Santa María-Río Nanay",Bosque húmedo tropical,N/A,150 m.,N/A,1731405,Mix of Handwritten and Typed,Holotype
https://fm-digital-assets.fieldmuseum.org/613/620/V0081497F.jpg,V0081497F,M. O. Dillon & D. Dillon,M. O. Dillon,D. Dillon,3776,1 Nov 1983,1983-11-01,N/A,Galvezia fruticosa Gmel.,Galvezia elisensii M.O. Dillon & Quipuscoa,N/A,N/A,N/A,Peru,Arequipa,Caravelí,N/A,"Lomas of Atiquipa, ca. 10.5 km N of turn-off to Atiquipa. Km 584 S of Lima","Lomas of Atiquipa, approximately 10.5 kilometers north of turn-off to Atiquipa, Kilometer 584 south of Lima",Loma,N/A,ca. 150-200 m,N/A,1940835,Typed,Holotype
https://fm-digital-assets.fieldmuseum.org/40/414/V0042484F.jpg,V0042484F,N/A,N/A,N/A,1915,1830,1830-00-00,N/A,Alchornea peruviana Poepp.,Tetrorchidium rubrivenium var. genuinum Müll. Arg.,N/A,N/A,N/A,Peru,N/A,N/A,N/A,Tocache Huallaga,"Tocache, Huallaga",N/A,N/A,N/A,N/A,875422,Mix of Handwritten and Typed,Isosyntype
https://fm-digital-assets.fieldmuseum.org/281/725/V0092855F.jpg,V0092855F,Jóse Campos y O. Díaz,J. Campos,O. Díaz,2490,9 Febrero 1996,1996-02-09,N/A,Malpighiaceae,Amorina camporum W. R. Anderson,W. R. Anderson,2006,N/A,Peru,Cajamarca,San Ignacio,N/A,Distrito Chirinos: Entre La Catagua y Tablón,Distrito Chirinos: Entre La Catagua y Tablón,N/A,N/A,550 - 650 m,05°19'S 078°47'W,2296033,Typed,Isotype
https://fm-digital-assets.fieldmuseum.org/155/067/V0078059F.jpg,V0078059F,Ruiz et Pavón,Ruiz,Pavón,s.n.,1778-1788,1778-00-00,1788-00-00,Nolana spathulata R & P,Nolana spathulata Ruiz & Pav.,A. Mesa,N/A,N/A,Peru,N/A,N/A,N/A,vice-regno Peruviano et Chilensi,Vice-regno Peruviano et Chilensi,N/A,N/A,N/A,N/A,845155,Typed,Isolectotype
https://fm-digital-assets.fieldmuseum.org/281/732/V0092864F.jpg,V0092864F,Camilo Díaz y Antonio Peña,C. Díaz,A. Peña,8808,4 Diciembre 1996,1996-12-04,N/A,Ericaceae,Symplocos ovata Ståhl,B. Ståhl,2010,N/A,Peru,Amazonas,Luya,N/A,"Camporedonde, Tullanaya, Pascana ""Pajaro Tigre""","Camporedonde, Tullanaya, Pascana ""Pajaro Tigre""",N/A,N/A,2250-2360 m,N/A,2296023,Typed,Isotype
https://fm-digital-assets.fieldmuseum.org/283/142/V0092900F.jpg,V0092900F,R & P,Ruiz,Pavon,9/58,1778-1788,1778-00-00,1788-00-00,Bonarea purpurea ( R & P) Herb.,Alstroemeria purpurea Ruiz & Pav.,N/A,N/A,N/A,Peru,N/A,N/A,N/A,Pillao,Pillao,N/A,N/A,N/A,N/A,916119,Typed,Isotype
