accessURI,catalogNumber,verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus,"Based on the visible herbarium label, here's the transcription following your specified format",Error 529,"Based on the herbarium label images, here is the transcription following your specified format"
https://fm-digital-assets.fieldmuseum.org/2460/308/V0588237F.jpg,V0588237F,Verdcourt no 2077,Verdcourt,N/A,2077,25.12.1957,1957-12-25,N/A,Digitaria pennata (Hochst.) Chiov,Digitaria pennata (Hochst.) Chiov,N/A,N/A,N/A,Kenya,N/A,N/A,N/A,"Tsavo - Mtito Andei, Kenya","Tsavo - Mtito Andei, Kenya",N/A,N/A,N/A,1559644,Mix of Handwritten and Typed,no type status,,,
https://fm-digital-assets.fieldmuseum.org/2460/430/V0580026F.jpg,V0580026F,HERBIER H. CALLENS s.j.,H. Callens,N/A,s.n.,Juillet 1958,1958-07-00,N/A,Gaertnera paniculata,Gaertnera paniculata,H. Callens,1/9/58,N/A,Congo Belge,N/A,N/A,Kisantu,Kisantu,Kisantu,foret secondaire,N/A,N/A,1584065|1732587,Typed,no type status,,,
https://fm-digital-assets.fieldmuseum.org/2464/177/V0580516F.jpg,V0580516F,HERBIER G. TROUPIN,G. Troupin,N/A,6333,10/2/1958,1958-02-10,N/A,COMPOSIT. Mikania cordata (BURM.f.) B.L.ROBINS,Mikania cordata (BURM.f.) B.L.ROBINS,N/A,N/A,N/A,Congo,Kivu,Kalehe,N/A,"Vers km 110,route Kavumu-Walekale; Irangi,réserve IRSAC","Vers km 110,route Kavumu-Walekale; Irangi,réserve IRSAC",Forêt ombrophile. Catena 1.540 m,850 - 900 m,N/A,1543353,Typed,no type status,,,
https://fm-digital-assets.fieldmuseum.org/2466/373/V0574490F.jpg,V0574490F,Gordon McPherson,G. McPherson,N/A,13781,20 Mars 1989,1989-03-20,N/A,Corynanthe mayumbensis (R. Good) N. Hallé,Corynanthe mayumbensis (R. Good) N. Hallé,Wilks & McPherson,1989,N/A,GABON,OGOOUE-IVINDO,N/A,N/A,"Réserve de la Lopé, au sud d'Ayem; chantier SOFORGA. 0°25'S; 11°30'E c. 200 m","Réserve de la Lopé, au sud d'Ayem; chantier SOFORGA",Arbre 15 m; fruit brun; voucher de NCI; LF:Q66S-0223-G; BK:Q66S-0224-H; WD:366S-0225-I,c. 200 m,0°25'S; 11°30'E,2040859,Typed,no type status,,,
https://fm-digital-assets.fieldmuseum.org/2472/873/V0574226F.jpg,V0574226F,J. M. Fay 8294,J. M. Fay,N/A,8294,4 March 1988,1988-03-04,N/A,Millettia zechiana Harms,Millettia zechiana Harms,Ake Assi,1988,"Guibourtia demeusei, Berlinia sp., Bombax sp.",CAMEROON,N/A,N/A,N/A,"On the Sangha River across from Ndakan gorilla study area. In seasonally flooded forest with Guibourtia demeusei, Berlinia sp., Bombax sp.","On the Sangha River across from Ndakan gorilla study area. In seasonally flooded forest with Guibourtia demeusei, Berlinia sp., Bombax sp.","Abundant understory tree, 5 m, 10 cm diam.",385 m,02°20'N 16°08'E,NCI# Leaves Q67P/0545-C | Wood Q67P/0546-H | Bark Q67P/0547-I | Root Q67P/0548-J,Typed,no type status,,,
https://fm-digital-assets.fieldmuseum.org/2473/141/V0580728F.jpg,V0580728F,Coll. F.A.Melville,F. A. Melville,N/A,199,29.vii.1959,1959-07-29,N/A,Phaseolus lunatus L.,Phaseolus lunatus L.,N/A,N/A,N/A,Annobon,N/A,N/A,N/A,"South West of Crater Lake. Clearing in wood, scrambling over herbage.","South West of Crater Lake. Clearing in wood, scrambling over herbage.","Clearing in wood, scrambling over herbage.","Alt. 1,500ft.",N/A,1624518,Mix of Handwritten and Typed,no type status,,,
https://fm-digital-assets.fieldmuseum.org/2473/209/V0578764F.jpg,V0578764F,"R. L. PIEMEISEL, L. W. KEPHART",R. L. Piemeisel,L. W. Kephart,2,"June 28-July 1, 1927",1927-06-28,1927-07-01,N/A,N/A,N/A,N/A,N/A,Kenya,N/A,N/A,Muthaiga,"Muthaiga, near Nairobi; alt. 1,700 meters","Muthaiga, near Nairobi; alt. 1,700 meters",N/A,"alt. 1,700 meters",N/A,2074762,Typed,no type status,,,
https://fm-digital-assets.fieldmuseum.org/2474/564/V0594158F.jpg,V0594158F,A. Léonard,A. Léonard,N/A,3149,19/2 1959,1959-02-19,N/A,Oxyanthus speciosus DC. subsp. indet.,Oxyanthus speciosus DC. subsp. indet.,B. Sonké,1989,N/A,ZAIRE,Masisi,N/A,N/A,N/A,N/A,Vieille forêt secondaire,1900m,N/A,2086095,Mix of Handwritten and Typed,no type status,,,
https://fm-digital-assets.fieldmuseum.org/2477/449/V0573054F.jpg,V0573054F,récolté par le R. P. KLAINE,R. P. KLAINE,N/A,s.n.,25 Mars 1904,1904-03-25,N/A,Klaineanthus gabonii Pierre,Klaineanthus gabonii Pierre,N/A,N/A,N/A,Gabon,N/A,N/A,N/A,Herbier des environs de LIBREVILLE,environs de LIBREVILLE,N/A,N/A,N/A,3200|781173,Handwritten,no type status,,,
https://fm-digital-assets.fieldmuseum.org/2478/115/V0601010F.jpg,V0601010F,James T. Allen 41,J. T. Allen,N/A,41,"September 23, 1996",1996-09-23,N/A,Dissotis rotundifolia (Sm.) Triana,Dissotis rotundifolia (Sm.) Triana,N/A,N/A,N/A,Ghana,Volta Region,N/A,Larteh,Center for Scientific Research into Plant Medicine (CSRPM) farm,Center for Scientific Research into Plant Medicine (CSRPM) farm,Anti-asthmatic; treating coughs and colds; antipyretic; for dysentery. Applied topically-arthritis,N/A,N/A,2200652,Typed,no type status,,,
https://fm-digital-assets.fieldmuseum.org/2478/233/V0602418F.jpg,V0602418F,J.E.Andoh,J. E. Andoh,N/A,5632,March 1952,1952-03-00,N/A,Chrysophyllum perpulchrum Mildbr.,Chrysophyllum perpulchrum Mildbr.,N/A,N/A,N/A,Gold Coast,Ashanti Prov.,Kumasi District,Kumasi,Kumasi Township Forest Reserve,Kumasi Township Forest Reserve,Medium sized tree 30ft. high and 2ft. girth. Planted in 1933,N/A,N/A,1601919,Typed,no type status,,,
https://fm-digital-assets.fieldmuseum.org/2478/305/V0604513F.jpg,V0604513F,J. Nemba & D.W. Thomas,J. Nemba,D.W. Thomas,520,15 June 1987,1987-06-15,N/A,Donella welwitschii Pierre ex Engl.,Donella welwitschii Pierre ex Engl.,D.W. Thomas,1987,N/A,CAMEROON,SOUTHWEST,N/A,N/A,Prov. SOUTHWEST: Secondary growth and old growth forest along Kumba-Mamfe road at mile 14 Lkiliwindi. 04°44'N 09°29'E 200 m,Secondary growth and old growth forest along Kumba-Mamfe road at mile 14 Lkiliwindi,"Liana, buds green, flowers white, leaves green",200 m,04°44'N 09°29'E,"NCI# Leaves, Stems Q66Q/0052-L|N° 2041320",Typed,no type status,,,
https://fm-digital-assets.fieldmuseum.org/2479/474/V0572217F.jpg,V0572217F,J. Deaw,J. Deaw,N/A,Sp 283,4/10/71,1971-10-04,N/A,Eugenia coronata,Eugenia coronata,A.A. Enti,1971,N/A,Ghana,N/A,N/A,Accra,Accra,Accra,"A shrub about 6' high. Flowering pedicels fascicled. Fruit ellipsoid, calyx persistent at the apex",N/A,N/A,1753421,Typed,no type status,,,
https://fm-digital-assets.fieldmuseum.org/2487/523/V0602609F.jpg,V0602609F,colligerunt G. Schweinfurth et D. Riva,G. Schweinfurth,D. Riva,1814,1 mai 1892,1892-05-01,N/A,Rumex nervosus V.,Rumex nervosus V.,N/A,N/A,N/A,Colonia Eritrea,N/A,N/A,N/A,Saganéiti pente du Nord au-dessous d'Addi-Abbour,Saganéiti pente du Nord au-dessous d'Addi-Abbour,N/A,Altitudo 2300/2100 m,N/A,N/A,Typed,no type status,,,
https://fm-digital-assets.fieldmuseum.org/2487/806/V0606178F.jpg,V0606178F,Coll. R.B. & A.J. Faden,R. B. Faden,A. J. Faden,77/711,7 March 1977,1977-03-07,N/A,Toddaliopsis sansibarensis (Engl.) Engl.,Toddaliopsis sansibarensis (Engl.) Engl.,J. O. Kokwaro,N/A,Combretum schumannii,Kenya,K7,Kwale District,N/A,"Kenya, K7, Kwale District, Chale Peninsula, ca. 4°26'S, 39°32'30""E. Alt 0-5 m. Coral rag dry forest with Combretum schumannii dominant","Chale Peninsula, Coral rag dry forest with Combretum schumannii dominant",Coral rag dry forest with Combretum schumannii dominant,Alt 0-5 m,"4°26'S, 39°32'30""E",2153520,Typed,no type status,,,
https://fm-digital-assets.fieldmuseum.org/2487/920/V0603038F.jpg,V0603038F,F. SZAFRANSKI,F. Szafranski,N/A,1378,5.2.1988,1988-02-05,N/A,Floscopa glomerata (Roem. et Schult.) Hassk.,Floscopa glomerata (Roem. et Schult.) Hassk.,N/A,N/A,N/A,Zaïre,Haut-Zaïre,Haut-Uele,Isiro,"Haut-Zaïre, S-Rég. Haut-Uele, Isiro",bas fond marécageux près de la route aux environs de l'usine SOTEXKI,bas fond marécageux près de la route aux environs de l'usine SOTEXKI,N/A,N/A,2054694,Typed,no type status,,,
https://fm-digital-assets.fieldmuseum.org/2491/969/V0606676F.jpg,V0606676F,Coll. F.W.H.Migeod,F. W. H. Migeod,N/A,394,26. 1. 1928,1928-01-26,N/A,Solanum sp.,Solanum aculeatissimum Jacq.,M. Nee,"Dec. 3,1997",N/A,"AFRICA. Bamenda, British Cameroons",Bamenda,British Cameroons,N/A,"Alt.5,500 ft.","Alt.5,500 ft.",Shrub very thorny and spinous. Flower not seen. Fruit pale yellow 1 in. diam. soft.,"5,500 ft.",N/A,1441275,Mix of Handwritten and Typed,no type status,,,
https://fm-digital-assets.fieldmuseum.org/2491/991/V0601406F.jpg,V0601406F,T.C. Wrigley 52,T. C. Wrigley,F. A. Melville,52,18 July 1959,1959-07-18,N/A,Cassipourea annobonensis Mildbr. ex Alston,Cassipourea annobonensis Mildbr. ex Alston,A. W. Exell,1961,N/A,Annobon,N/A,N/A,N/A,ANNOBON: Ridge west of Crater Lake,Ridge west of Crater Lake,Open woodland. Small sepals; green petals; white filament tube with 10 stamens,1200ft. Alt,N/A,1624568,Mix of Handwritten and Typed,no type status,,,
https://fm-digital-assets.fieldmuseum.org/2493/436/V0604673F.jpg,V0604673F,William Burger,William Burger,N/A,1767,27 May 1962,1962-05-27,N/A,Rubus apetalus Poir,Rubus apetalus Poir,WB/Kew!,N/A,Podocarpus + Juniperus,Ethiopia,Harar,N/A,N/A,Near G. Ades ±18Km E. of Hirna along new hwy. Steep slopes with remnant Podocarpus + Juniperus forest Alt. 9200 feet (9°17'N × 41°13'E),Near G. Ades ±18Km East of Hirna along new highway. Steep slopes with remnant Podocarpus + Juniperus forest,"Forming bush 2.5m tall under Podocarpus, etc.",9200 feet,9°17'N × 41°13'E,N/A,Mix of Handwritten and Typed,no type status,,,
https://fm-digital-assets.fieldmuseum.org/2499/501/V0565514F.jpg,V0565514F,"J.D. Sauer, no. 3914",J. D. Sauer,N/A,3914,15 June 1963,1963-06-15,N/A,Aerva lanata (L.) Juss,Aerva lanata (L.) Juss,N/A,N/A,N/A,Kenya,Coast Province,Kwale District,N/A,"Beach ridge, shallow open coast. Bumburri Beach, N of Mombasa. Coast Province, Kwale District, near Mombasa","Beach ridge, shallow open coast. Bumburri Beach, N of Mombasa. near Mombasa","Beach ridge, shallow open coast",N/A,N/A,1595870,Typed,no type status,,,
https://fm-digital-assets.fieldmuseum.org/2499/556/V0565977F.jpg,V0565977F,C. Vigne,C. Vigne,N/A,4086,s.d.,N/A,N/A,Enantia polycarpa Engl. + Diels,Enantia polycarpa Engl. + Diels,N/A,N/A,N/A,Gold Coast,N/A,N/A,N/A,N/A,[precise locality unknown],N/A,N/A,N/A,839434,Typed,no type status,,,
https://fm-digital-assets.fieldmuseum.org/2499/686/V0566108F.jpg,V0566108F,Eman Addo,Eman Addo,N/A,1026,1999,1999-00-00,N/A,Uvaria versicolor Pierre,Uvaria versicolor Pierre,N/A,N/A,N/A,Ghana,N/A,N/A,N/A,N/A,[precise locality unknown],N/A,N/A,N/A,2325255,Typed,no type status,,,
https://fm-digital-assets.fieldmuseum.org/2500/629/V0567164F.jpg,V0567164F,A.A. Enti,A. A. Enti,N/A,Sp 398,22/11/19 71,1971-11-22,N/A,Pergularia daemia,Pergularia daemia,A. A. Enti,19 71,N/A,Ghana,N/A,N/A,N/A,Awutu - Winneba Road,Awutu - Winneba Road,"A climber among grasses. Flower white, conspicuous. Latex present",N/A,N/A,1253349,Typed,no type status,,,
https://fm-digital-assets.fieldmuseum.org/2501/420/V0591661F.jpg,V0591661F,D.W. Thomas 6850,D. W. Thomas,N/A,6850,1987,1987-00-00,N/A,Cola flavovelutinia K. Schum,Cola flavovelutinia K. Schum,D. W. Thomas,1987,N/A,CAMEROON,SOUTHWEST,N/A,N/A,PROV. SOUTHWEST: Korup National Park. Primary rain forest 05°02'N 08°50'E 60 m,PROV. SOUTHWEST: Korup National Park. Primary rain forest,"Understorey tree, 5 m tall",60 m,05°02'N 08°50'E,"NCI# Leaves, twigs Q66P/0029-T|N° 2041255",Typed,no type status,,,
https://fm-digital-assets.fieldmuseum.org/2504/891/V0567306F.jpg,V0567306F,Sue A. Thompson 1522,S. A. Thompson,N/A,1522,9 July 1984,1984-07-09,N/A,Impatiens macroptera Hook.f.,Impatiens macroptera Hook.f.,N/A,N/A,N/A,CAMEROON,Sud-Ouest,Fako,Bakingili,"Bakingili; 4°04'N, 9°02'E. Alt. 50-250 m. Trail up Mt. Cameroon",Bakingili; Trail up Mt. Cameroon,Erect herb up to 70 cm tall; growing on wet rocks; flowers purple,Alt. 50-250 m,"4°04'N, 9°02'E",N° 2086046,Typed,no type status,,,
https://fm-digital-assets.fieldmuseum.org/2505/266/V0606921F.jpg,V0606921F,D. Wiens,D. Wiens,N/A,4484,16-12-71,1971-12-16,N/A,Englerina tenuifolia (Engl.) Gilli,Englerina tenuifolia (Engl.) Gilli,N/A,N/A,N/A,Kenya,Kitui,N/A,N/A,4 km n. of Kangondi on road to Embu,4 km north of Kangondi on road to Embu,Thornbush,4500',N/A,1861166,Typed,no type status,,,
https://fm-digital-assets.fieldmuseum.org/2506/309/V0605928F.jpg,V0605928F,Sue A. Thompson & John E. Rawlins,S. A. Thompson,John E. Rawlins,1333,3 June 1984,1984-06-03,N/A,Avicennia africana P. Beauv.,Avicennia africana P. Beauv.,N/A,N/A,N/A,CAMEROON,Sud-Ouest,Fako,Bakingili,"Bakingili; 4°04'N, 9°02'E. Alt. 0 m. Seaside.",Bakingili; Seaside,Tree ca 2-3 m tall; bark with light blotches; flowers white,Alt. 0 m,"4°04'N, 9°02'E",N° 2088074,Typed,no type status,,,
https://fm-digital-assets.fieldmuseum.org/2511/134/V0605675F.jpg,V0605675F,HERBIER G. TROUPIN,G. Troupin,N/A,6347,18.2.1958,1958-02-18,N/A,Glyphaea brevis (SPRENG.) MONACHINO,Glyphaea brevis (SPRENG.) MONACHINO,N/A,N/A,N/A,N/A,Kivu,Kalehe,N/A,"Vers Km 110 route Kavumu-Walikale; Irangi, réserve IRSAC","Vers Km 110 route Kavumu-Walikale; Irangi, réserve IRSAC",forêt ombrophile. Catena II.500 m,850 - 900 m,N/A,1548374,Mix of Handwritten and Typed,no type status,,,
https://fm-digital-assets.fieldmuseum.org/2511/772/V0571550F.jpg,V0571550F,Legit: A. Pappi,A. Pappi,N/A,2627,14-15.VIII.1902,1902-08-14,1902-08-15,Lavandula pubescens Decaisne,Lavandula pubescens Decaisne,T. M. Upson,2/4/1996,N/A,ERITREA,ASSAORTA,N/A,N/A,LUNGO IL TORRENTE HADDAS,LUNGO IL TORRENTE HADDAS,N/A,N/A,N/A,2652,Mix of Handwritten and Typed,no type status,,,
https://fm-digital-assets.fieldmuseum.org/2512/575/V0607392F.jpg,V0607392F,William Burger,William Burger,N/A,1453,"14 Feb, 1962",1962-02-14,N/A,Juniperus procera Hochst ex Endl.,Juniperus procera Hochst ex Endl.,WB,N/A,N/A,Ethiopia,Harar,N/A,N/A,N.W face of Gara Mulatta Mtn. ca. 50 km due N of Harar 9°16'N+41°43'E alt 2500 - 3000 m,N.W face of Gara Mulatta Mtn. ca. 50 km due N of Harar,Trees 8-10m tall. ± 8600 feet taller on steep slopes with mixed forest,alt 2500 - 3000 m,9°16'N+41°43'E,1632855,Mix of Handwritten and Typed,no type status,,,
https://fm-digital-assets.fieldmuseum.org/2513/815/V0570163F.jpg,V0570163F,B.D. Doku,B. D. Doku,N/A,1,6/12/1972,1972-12-06,N/A,TERMINALIA GLAUCESCENS,TERMINALIA GLAUCESCENS,N/A,1972,N/A,GHANA,VOLTA REGION,N/A,HO,"HO, VOLTA REGION, GHANA","HO, VOLTA REGION, GHANA","A tree, to 40ft high, 6ft girth, wood yellow or brownish yellow",N/A,N/A,N° 2007210|GC,Handwritten,no type status,,,
https://fm-digital-assets.fieldmuseum.org/2514/094/V0570543F.jpg,V0570543F,Amora Gettel leg. Schimper,Schimper,N/A,1467,24. 11. 63,1863-11-24,N/A,Ipomoea hederacea Chois.,Ipomoea hederacea Chois.,N/A,N/A,N/A,Abyssinia,N/A,N/A,N/A,Amora Gettel,Amora Gettel,N/A,N/A,N/A,373793,Handwritten,no type status,,,
https://fm-digital-assets.fieldmuseum.org/2514/378/V0607965F.jpg,V0607965F,D.W. Thomas & M. Etuge,D. W. Thomas,M. Etuge,6988,18 May 1987,1987-05-18,N/A,Tapura africana Oliv.,Tapura africana Oliv.,D. W. Thomas,1987,N/A,CAMEROON,SOUTHWEST,N/A,Kumba,"PROV. SOUTHWEST: Degraded forest at Barombi Kang, Kumba",Degraded forest at Barombi Kang,"Tree, 15 m tall, with fluted trunk",150 m,04°36'N 09°27'E,NCI# Bark Q66P/0125-Y|Leaves Q66P/0261-W|№ 2040825,Typed,no type status,,,
https://fm-digital-assets.fieldmuseum.org/2514/765/V0570471F.jpg,V0570471F,"Dr. EDGAR A. MEARNS, Collector",E. A. Mearns,N/A,1114,"September 6 and 7, 1909",1909-09-06,1909-09-07,Evolvulus alsinoides L,Evolvulus alsinoides L.,N/A,N/A,N/A,British East Africa,N/A,N/A,N/A,"Vicinity of Thika, British East Africa; altitude about 1350 meters","Vicinity of Thika, British East Africa; altitude about 1350 meters",N/A,about 1350 meters,N/A,468387,Typed,no type status,,,
https://fm-digital-assets.fieldmuseum.org/2514/997/V0570108F.jpg,V0570108F,G. Mac Naughton,G. Mac Naughton,N/A,580,N/A,N/A,N/A,Combretum Schumannii Engl.,Combretum Schumannii Engl.,N/A,N/A,N/A,Kenya,N/A,N/A,N/A,N/A,[precise locality unknown],N/A,N/A,N/A,856357,Typed,no type status,,,
https://fm-digital-assets.fieldmuseum.org/2515/000/V0570110F.jpg,V0570110F,J. M. Fay 8271,J. M. Fay,N/A,8271,28 February 1988,1988-02-28,N/A,Combretum smeathmannii G. Don,Combretum smeathmannii G. Don,Ake Assi,1988,"Irvingia smithii, Guibourtia demeusei, Berlinia sp.",CAMEROON,N/A,N/A,N/A,"Along the Sangha River adjacent to the island of Kilona. In riparian forest adjacent to seasonally flooded forest with Irvingia smithii, Guibourtia demeusei, Berlinia sp., Prec: 1400 mm 02°21'N 16°09'E 385 m","Along the Sangha River adjacent to the island of Kilona. In riparian forest adjacent to seasonally flooded forest with Irvingia smithii, Guibourtia demeusei, Berlinia sp., Prec: 1400 mm","Liana, common on river bank. Young fruits with pinkish tinge",385 m,02°21'N 16°09'E,2041248|NCI# Stem Q67F/0466-T|Leaves Q67F/0467-U,Typed,no type status,,,
