Entry,Image,verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus,"I'm unable to transcribe the collector's name from the image. However, I can provide the rest of the transcription based on the visible information","I'm unable to transcribe the entire label as it is in an image format. However, I can provide a transcription based on the visible text"
Entry 27,0027_V0602609F_collage.png,collengit G. Schweinfurth et D. Riva,G. Schweinfurth,D. Riva,1814,1 mai 1892,1892-05-01,N/A,Rumex nervosus V.,Rumex nervosus,N/A,N/A,N/A,Eritrea,N/A,N/A,N/A,Saganeïti pente du Nord au-dessous d'Addi-Abbou,Saganeïti,N/A,2300/2100 m,N/A,N/A,Mix of Handwritten and Typed,no type status,,
Entry 28,0028_V0606178F_collage.png,Coll. R.B. & A.J. Faden,R. B. Faden,A. J. Faden,77/711,7 March 1977,1977-03-07,N/A,Toddaliopsis sansibarensis (Engl.) Engl.,Toddaliopsis sansibarensis,J. O. Kokwaro,N/A,Combretum schumannii,Kenya,Kwale,N/A,N/A,K7 Kwale District Chale Peninsula,Chale Peninsula,Coral rag dry forest,Alt 0-5 m,"ca. 4°26'S 39°32'30""E",N/A,Typed,no type status,,
Entry 29,0029_V0603038F_collage.png,F. Szafranski,F. Szafranski,N/A,1378,5.2.1988,1988-02-05,N/A,Floscopa glomerata (Roem. et Schult.) Hassk.,Floscopa glomerata,N/A,N/A,N/A,Democratic Republic of the Congo,Haut-Uele,N/A,Isiro,S-Rég. Haut-Uele Isiro,[precise locality unknown],bas fond marécageux près de la route aux environs de l'usine SOCODIA,N/A,N/A,N/A,Typed,no type status,,
Entry 30,0030_V0606676F_collage.png,Coll. F. W. H. Migeod,F. W. H. Migeod,N/A,394,26. 1. 1928.,1928-01-26,N/A,Solanum sp.,Solanum aculeatissimum,M. Nee,"Dec. 3, 1977",N/A,Cameroon,Northwest,N/A,Bamenda,Bamenda,[precise locality unknown],Shrub very thorny and spinous,"Alt. 5,500 ft.",N/A,No. 394.,Mix of Handwritten and Typed,no type status,,
Entry 31,0031_V0601406F_collage.png,T. C. Wrigley and F. A. Melville,T. C. Wrigley,F. A. Melville,52,18 July 1959,1959-07-18,N/A,Cassipourea annobonensis Mildbr. ex Alston,Cassipourea annobonensis,A. W. Exell,1961,N/A,Equatorial Guinea,Annobon,N/A,N/A,Ridge west of Crater Lake,Ridge west of Crater Lake,Open woodland,1200 ft. Alt.,N/A,Photo. B. M. II/738,Mix of Handwritten and Typed,N/A,,
Entry 32,0032_V0604673F_collage.png,William Burger,W. Burger,N/A,1767,27 May 1962,1962-05-27,N/A,Rubus apetalus Poir,Rubus apetalus,W. B. Kewl,N/A,N/A,Ethiopia,Harar,N/A,N/A,Near G. Ades 18Km. e. of Hirna along new hwy,Near G. Ades 18 kilometers east of Hirna along new highway,Steep slopes with remnant Podocarpus and Juniperous forest,At 7200 feet,9°17'N x 41°3'E,N/A,Mix of Handwritten and Typed,no type status,,
Entry 33,0033_V0565514F_collage.png,J.D. Sauer,J. D. Sauer,N/A,3914,15 June 1963,1963-06-15,N/A,Aerva lanata (L.) Juss.,Aerva lanata,N/A,N/A,N/A,Kenya,Coast,Kwale,N/A,near Mombasa,Bumburri Beach,"Beach ridge, shallow open coast",N/A,N/A,N/A,Typed,no type status,,
Entry 34,0034_V0565977F_collage.png,C. Vigne,C. Vigne,N/A,s.n.,s.d.,0000-00-00,N/A,Enantia polycarpa Engl. & Diels,Enantia polycarpa,unsure and check,N/A,N/A,Ghana,N/A,N/A,N/A,Gold Coast,[precise locality unknown],N/A,N/A,N/A,4068,Typed,no type status,,
Entry 35,0035_V0566108F_collage.png,Eman Addo,E. Addo,N/A,1026,1999,1999-00-00,N/A,Uvaria versicolor Pierre,Uvaria versicolor,N/A,N/A,N/A,Ghana,N/A,N/A,N/A,N/A,[precise locality unknown],N/A,N/A,N/A,N/A,Typed,no type status,,
Entry 36,0036_V0567164F_collage.png,A. A. Enti,A. A. Enti,N/A,Sp 393,22 11 71,1971-11-22,N/A,Pergularia daemia,Pergularia daemia,A. A. Enti,71,N/A,Ghana,N/A,N/A,N/A,Awutu - Winneba Road,[precise locality unknown],A climber among grasses Flower white conspicuous Latex present,N/A,N/A,N/A,Typed,no type status,,
Entry 37,0037_V0591661F_collage.png,D.W. Thomas 6850,D. W. Thomas,N/A,6850,1987,1987-00-00,N/A,Cola flavovelutinia K. Schum,Cola flavovelutinia,D. W. Thomas,1987,N/A,Cameroon,Southwest,N/A,N/A,Korup National Park,Korup National Park,Primary rain forest,60 m,05°02'N 08°50'E,Q66P/0029-T,Typed,no type status,,
Entry 38,0038_V0567306F_collage.png,Sue A. Thompson,S. A. Thompson,N/A,1522,9 July 1984,1984-07-09,N/A,Impatiens macroptera Hook.f.,Impatiens macroptera,N/A,N/A,N/A,Cameroon,Sud-Ouest,Fako,Bakingili,Trail up Mt. Cameroon,Trail up Mount Cameroon,Erect herb up to 70 centimeters tall; growing on wet rocks; flowers purple,Alt. 50-250 m.,"4°04'N, 9°02'E",N/A,Typed,no type status,,
Entry 39,0039_V0606921F_collage.png,D. M. Lucas,D. M. Lucas,N/A,4484,6/12/71,1971-12-06,N/A,Englerina tenuifolia (Engl.) Gilli,Englerina tenuifolia,N/A,N/A,N/A,Kenya,Kitui,N/A,N/A,4 km n. of Kangondi on road to Embu,4 kilometers north of Kangondi on road to Embu,Thornshrub,4500 ft,N/A,N/A,Mix of Handwritten and Typed,no type status,,
Entry 40,0040_V0605928F_collage.png,Sue A. Thompson 1333 & John E. Rawlins,S. A. Thompson,J. E. Rawlins,1333,3 June 1984,1984-06-03,N/A,Avicennia africana P. Beauv.,Avicennia africana,N/A,N/A,N/A,Cameroon,Sud-Ouest,Fako,N/A,CAMEROON: Prov. Sud-Ouest: Dept. Fako: Bakingili,Bakingili,Seaside. Tree ca 2-3 meters tall; bark with light blotches; flowers white.,Alt. 0 m.,"4°04' N, 9°02' E.",N/A,Typed,no type status,,
Entry 41,0041_V0605675F_collage.png,N/A,N/A,N/A,6347,12.7.1958,1958-07-12,N/A,Thunb. Glyphiscia brevis (Spreng.) Normandino,Glyphiscia brevis,N/A,N/A,N/A,Democratic Republic of the Congo,Kivu,Walikale,N/A,"Vers km 110 route Kavumu-Walikale, forêt, réserve IRSAC","Vers km 110 route Kavumu-Walikale, réserve IRSAC",forêt ombrophile,Alt. 850 - 900 m,N/A,6547,Typed,no type status,,
Entry 42,0042_V0571550F_collage.png,Legit A. Pappi,A. Pappi,N/A,262,14-15.VIII.1902,1902-08-14,1902-08-15,Lavandula pubescens Decaisne,Lavandula pubescens,T. M. Upson,2/4/1996,N/A,Eritrea,N/A,N/A,N/A,Eritrea Assaorta Lungo il Torrente Haddas,Lungo il Torrente Haddas,N/A,N/A,N/A,N/A,Typed,no type status,,
Entry 43,0043_V0607392F_collage.png,W. M. Burger,W. M. Burger,N/A,1453,14 Feb. 1962,1962-02-14,N/A,Juniperus procera Hochst. ex Endl.,Juniperus procera,W. B.,N/A,N/A,Ethiopia,Harari,N/A,N/A,N.W. face of Gara Mullata Mtn ca. 50 km due W of Harar 9 16' N 41 43' E,N.W. face of Gara Mullata Mountain approximately 50 kilometers due west of Harar,Trees 8-10 meters tall and 8600 feet taller on steep slopes with mixed forest,at 8500-3200 m,9 16' N 41 43' E,N/A,Mix of Handwritten and Typed,no type status,,
Entry 44,0044_V0570163F_collage.png,G. B. D. Okine,G. B. D. Okine,N/A,s.n.,10/12/1972,1972-12-10,N/A,Terminalia glaucescens,Terminalia glaucescens,N/A,1972,N/A,Ghana,Volta Region,N/A,Ho,Ho,[precise locality unknown],A tree to 40 feet high 6 feet girth wood yellow or brownish yellow,N/A,N/A,GC,Mix of Handwritten and Typed,no type status,,
Entry 45,0045_V0570543F_collage.png,leg. Schimper,W. P. Schimper,N/A,1467,24.11.63,1863-11-24,N/A,Ipomoea cummunis Chois.,Ipomoea cummunis,N/A,N/A,N/A,Ethiopia,N/A,N/A,N/A,Abyssinia,[precise locality unknown],N/A,N/A,N/A,N/A,Mix of Handwritten and Typed,no type status,,
Entry 46,0046_V0607965F_collage.png,D.W. Thomas & M. Etuge,D. W. Thomas,M. Etuge,6988,18 May 1987,1987-05-18,N/A,Tapura africana Oliv.,Tapura africana,D. W. Thomas,1987,N/A,Cameroon,Southwest,N/A,N/A,Degraded forest at Barombi Kang Kumba,Barombi Kang Kumba,Degraded forest,150 m,04°36'N 09°27'E,NCI Bark 0669/0125-Y | Leaves 0669/0261-W,Typed,no type status,,
Entry 47,0047_V0570471F_collage.png,Edgar A. Mearns,E. A. Mearns,N/A,1114,"September 6 and 7, 1909",1909-09-06,1909-09-07,Evolvulus alsinoides L.,Evolvulus alsinoides,N/A,N/A,N/A,Kenya,N/A,N/A,N/A,"Vicinity of Thika, British East Africa",Vicinity of Thika,N/A,altitude about 1350 meters,N/A,N/A,Typed,no type status,,
Entry 48,0048_V0570108F_collage.png,G. MacNaughton,G. MacNaughton,N/A,580,s.d.,0000-00-00,N/A,Combretum Schumannii Engl.,Combretum schumannii,N/A,N/A,N/A,Kenya,N/A,N/A,N/A,N/A,[precise locality unknown],N/A,N/A,N/A,N/A,Typed,no type status,,
Entry 49,0049_V0570110F_collage.png,J. M. Fay,J. M. Fay,N/A,8271,28 February 1988,1988-02-28,N/A,Combretum smeathmannii G. Don,Combretum,A. Assi,1988,Irvingia smithii | Guiboutia demensii | Berlinia,Cameroon,N/A,N/A,N/A,Along the Sangha River adjacent to the island of Kilona,Along the Sangha River adjacent to the island of Kilona,In riparian forest adjacent to seasonally flooded forest,385 m,02°21'N 16°09'E,NCI# Stem 067E/0466-T | Leaves 067E/0467-U,Typed,no type status,,
Entry 50,0050_V0590787F_collage.png,Coll. D.D. Soejarto,D. D. Soejarto,N/A,4793,"April 1, 1978",1978-04-01,N/A,Diospyros tricolor Hiern.,Diospyros tricolor,N/A,N/A,Thespesia populnea | Sophora occidentalis,Ghana,Greater Accra,N/A,Bortianor,"20 km. West of Accra, Sea coast","20 kilometers West of Accra, Sea coast","Straggling shrub, in association with Thespesia populnea and Sophora occidentalis. Fruits green. Forming clumps just behind beach, on sandy soil. Common.",N/A,N/A,N/A,Typed,no type status,,
Entry 51,0051_V0040586F_collage.png,Narciso Reyna R. 40,N. Reyna,N/A,40,15 diciembre 1967,1967-12-15,N/A,Guatteria scalarinervia D. R. Simpson,Guatteria scalarinervia,unsure and check,N/A,N/A,Peru,Loreto,Maynas,N/A,Santa María - Río Nanay distr. Alto Nanay,Santa María - Río Nanay,"""Carahuasc amarillo"" - arbol bosque húmedo tropical",Alt. 150 m.,N/A,229-I,Typed,Holotype,,
Entry 52,0052_V0081497F_collage.png,M. O. Dillon & D. Dillon,M. O. Dillon,D. Dillon,3776,1 Nov 1983,1983-11-01,N/A,Galvezia fruticosa Gmel.,Galvezia elisensii,M. O. Dillon | Quipuscoa,N/A,N/A,Peru,Arequipa,Caraveli,N/A,Lomas of Atiquipa ca. 10.5 km N of turn-off to Atiquipa KM 584 S of Lima,Lomas of Atiquipa ca. 10.5 kilometers North of turn-off to Atiquipa Kilometer 584 South of Lima,Erect glutinous shrub to 0.75 meters flowers red,ca. 150-200 m,N/A,N/A,Typed,Holotype,,
Entry 53,0053_V0042484F_collage.png,F. W. Sieber,F. W. Sieber,N/A,s.n.,1830,1830-00-00,N/A,Tetrorchidium rubrivenium var. genuinum Müll. Arg.,Tetrorchidium rubrivenium,E. Pax,N/A,N/A,N/A,N/A,N/A,N/A,N/A,[precise locality unknown],N/A,N/A,N/A,60787,Mix of Handwritten and Typed,Isosyntype,,
Entry 54,0054_V0092855F_collage.png,José Campos y O. Díaz 2490,J. Campos,O. Díaz,2490,9 Febrero 1996,1996-02-09,N/A,Amorimia camporum W.R. Anderson,Amorimia camporum,W. R. Anderson,2006,N/A,Peru,Cajamarca,San Ignacio Province,N/A,Distrito Chirinos: Entre La Catagua y Tablón,Entre La Catagua y Tablón,Trepadora; flor amarilla,550 - 650 m,05°19'S 078°47'W,N/A,Typed,Isotype,,
Entry 55,0055_V0078059F_collage.png,Tafalla collected with and for Ruiz & Pavon,N. Tafalla,H. Ruiz | J. Pavon,s.n.,14 November 1784,1784-11-14,N/A,Nolana spathulata Ruiz & Pav.,Nolana spathulata,A. Mesa,1981,N/A,Peru,N/A,N/A,N/A,N/A,[precise locality unknown],N/A,N/A,N/A,N/A,Typed,Isolectotype,,
Entry 56,0056_V0092864F_collage.png,Camilo Diaz y Antonio Peña 8808,C. Diaz,A. Peña,8808,4 Diciembre 1996,1996-12-04,N/A,Symplocos ovata Ståhl,Symplocos ovata,B. Ståhl,2010,N/A,Peru,Amazonas,Luya,N/A,"Camporedondo, Tullanya, Pascana ""Pajaro Tigre""","Camporedondo, Tullanya, Pascana ""Pajaro Tigre""",Liana con frutos verdes. Pedúnculos largos.,2250-2360 m,N/A,N/A,Typed,Isotype,,
Entry 57,0057_V0092900F_collage.png,Ruiz et Pavón,N/A,N/A,9/58,1778-1788,1778-00-00,1788-00-00,Bomarea purpurea (Ruiz & Pavón) Herb.,Bomarea purpurea,N. Hofreiter,2007,N/A,Peru,N/A,N/A,Pillao,N/A,[precise locality unknown],N/A,N/A,N/A,29201,Mix of Handwritten and Typed,isotype,,
Entry 58,0058_V0092906F_collage.png,V. Quipuscoa S. A. Sagástegui A. S. Leiva G. M. Bejarano C.,V. Quipuscoa,S. A. Sagástegui | A. S. Leiva | G. M. Bejarano,1378,20 agosto 1998,1998-08-20,N/A,Lithospermum cinerascens (A. DC.) Johnst.,Lithospermum leymabambense,D. Hensold,1999,N/A,Peru,Amazonas,Chachapoyas,Leymebamba,Carretera a Celendín entre Ishpingo - Pomacocha,Carretera a Celendín between Ishpingo and Pomacocha,Bosque montano fragmentado,2800-3000 m,N/A,N/A,Typed,Isotype,,
Entry 59,0059_V0092915F_collage.png,Coll. Llewelyn Williams,L. Williams,N/A,6999,1/10/30,1930-01-10,N/A,Nectandra cuneata Mez,Nectandra cuneata,D. Giraldo-Cañas,2010,N/A,Peru,San Martin,N/A,San Roque,San Roque,[precise locality unknown],N/A,Alt. 1500-1600 m,N/A,65813,Typed,Holotype,,
Entry 60,0060_V0092918F_collage.png,N/A,N/A,N/A,s.n.,1778-1788,1778-00-00,1788-00-00,Norantea macroscypha Gilg = Marcgraviastrum obovatum (G. Don) Bedell,Marcgraviastrum obovatum,H. G. Bedell,Utrecht VIII 1982,N/A,Peru,N/A,N/A,N/A,N/A,[precise locality unknown],N/A,N/A,N/A,N/A,Mix of Handwritten and Typed,isotype,,
Entry 61,0061_V0092921F_collage.png,N/A,N/A,N/A,s.n.,annis 1788,1788-00-00,N/A,Norantea obovata G. Don = Marcgraviastrum obovatum (G. Don) Bedell,Marcgraviastrum obovatum,H. G. Bedell,VIII 1982,N/A,Peru,N/A,N/A,N/A,N/A,[precise locality unknown],N/A,N/A,N/A,65816,Mix of Handwritten and Typed,Isotype,,
Entry 62,0062_V0190732F_collage.png,Robin B. Foster,R. B. Foster,N/A,8752,13 Sept. 1982,1982-09-13,N/A,Acidoton venezuelanus (Pax. & Hoffm.) Webster,Acidoton venezuelanus,M. J. Huft,1983,N/A,Peru,Huánuco,N/A,N/A,Pachitea; Puerto Inca to Sungaro. Foot trail between Río Pachitea and Río Sungaro.,Puerto Inca to Sungaro. Foot trail between Río Pachitea and Río Sungaro.,Forested low hills and ravines.,Alt. 250-300 m.,"75°00'W, 9°18'S.",N/A,Typed,no type status,,
Entry 63,0063_V0277652F_collage.png,José Schunke Vigo,J. Schunke,N/A,6505,27 May 1961,1961-05-27,N/A,Tontelea attenuata Miers,Tontelea attenuata,J. A. Lombardi,IV 1999 2000,N/A,Peru,San Martín,N/A,N/A,"Quebrada Huicte (rio Huallaga), in tall forest",Quebrada Huicte,In tall forest,529 m alt.,N/A,N/A,Typed,N/A,,
